"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","Examples","Inside","Examples_times","Teachers_Box","Learners_Guess","Learners_Guess_time","canvas_size","won","key_press"
"true","fullscreen","0","2629","0.0-0.0","1532728108878","10-436","13-437","","","","","","","","","","","","","","",""
"","survey-text","1","17747","0.0-1.0","1532728108878","10-436","13-437","15117","{""Q0"":""10-436"",""Q1"":""13-437""}","","","","","","","","","","","","",""
"","my_image_button","2","45642","0.0-2.0-0.0","1532728108878","10-436","13-437","27893","","img/caja.png","0","","","","","","","","","","",""
"","my_image_button","3","63403","0.0-2.0-1.0","1532728108878","10-436","13-437","17760","","img/caja_con_ejemplos.png","0","","","","","","","","","","",""
"","my_image_button","4","95252","0.0-2.0-2.0","1532728108878","10-436","13-437","31847","","","0","","","","","","","","","","",""
"","waiting-room","5","95778","0.0-3.0","1532728108878","10-436","13-437","","","","","0","3cbd68f1-e24c-4558-86bf-9cbfd8fc3bf3","","","","","","","","",""
"","teacher","6","221081","0.0-4.0-0.0","1532728108878","10-436","13-437","7261,6643,18451","","","","","","[315,531],[717,740],[314,743]","true,true,true","1532728194175,1532728253138,1532728284243","[310,722,523,745]","[315,770,338,531],[314,719,532,742],[309,724,523,749]","1532728246412,1532728265717,1532728312136","[864,864]","true","null"
"","image-button-response","7","223083","0.0-4.0-2.0-0.0","1532728108878","10-436","13-437","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","8","290645","0.0-4.0-3.0","1532728108878","10-436","13-437","16616,8195,5372","","","","","","[605,83],[767,84],[597,425]","false,false,false","1532728330831,1532728345126,1532728360079","[598,767,89,420]","[833,862,805,861],[597,775,77,207],[612,761,91,418]","1532728336856,1532728354634,1532728381699","[864,864]","true","null"
"","image-button-response","9","292646","0.0-4.0-5.0-0.0","1532728108878","10-436","13-437","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","10","308271","0.0-5.0","1532728108878","10-436","13-437","15624","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","",""
"","html-button-response","11","329895","0.0-6.0","1532728108878","10-436","13-437","21623","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","",""
"","waiting-room","12","332998","0.0-7.0","1532728108878","10-436","13-437","","","","","0","57581b99-dcf2-485c-b54a-ff0ddec50e73","","","","","","","","",""
"","teacher","13","458396","0.0-8.0-0.0","1532728108878","10-436","13-437","8294,12290,5594,3211","","","","","","[368,386],[366,630],[305,502],[433,500]","true,true,true,true","1532728432425,1532728458117,1532728481013,1532728525241","[301,435,380,632]","[363,861,382,862],[362,865,380,636],[300,862,377,640],[297,442,375,639]","1532728445750,1532728475342,1532728521953,1532728549451","[864,864]","true","null"
"","image-button-response","14","460399","0.0-8.0-2.0-0.0","1532728108878","10-436","13-437","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","15","597796","0.0-8.0-3.0","1532728108878","10-436","13-437","15102,6767,14466,4956","","","","","","[771,521],[484,607],[473,519],[773,611]","false,false,false,false","1532728566633,1532728589180,1532728640707,1532728673903","[476,757,521,607]","[7,766,8,515],[5,761,5,598],[480,765,3,513],[481,767,528,606]","1532728582332,1532728626167,1532728668864,1532728688851","[864,864]","true","null"
"","image-button-response","16","599798","0.0-8.0-5.0-0.0","1532728108878","10-436","13-437","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","17","696049","0.0-8.0-6.0","1532728108878","10-436","13-437","5007,6400,8610,3133,3770","","","","","","[855,9],[343,468],[792,839],[370,503],[456,624]","false,false,false,true,false","1532728695937,1532728716336,1532728734091,1532728754652,1532728776939","[369,455,500,625]","[13,848,17,846],[353,849,16,461],[352,849,18,827],[351,785,475,833],[350,449,474,617]","1532728709859,1532728725394,1532728751444,1532728773093,1532728787101","[864,864]","true","null"
"","image-button-response","18","698051","0.0-8.0-8.0-0.0","1532728108878","10-436","13-437","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","19","735561","0.0-8.0-9.0","1532728108878","10-436","13-437","3500,6771","","","","","","[164,417],[405,495]","true,false","1532728792684,1532728809447","[160,399,413,499]","[161,850,413,860],[157,399,410,488]","1532728802597,1532728826617","[864,864]","true","null"
"","image-button-response","20","737563","0.0-8.0-11.0-0.0","1532728108878","10-436","13-437","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","21","780429","0.0-8.0-12.0","1532728108878","10-436","13-437","3023,4763","","","","","","[653,596],[736,238]","false,false","1532728831718,1532728859135","[642,728,233,594]","[646,660,589,604],[662,731,245,589]","1532728854297,1532728871481","[864,864]","true","null"
"","image-button-response","22","782431","0.0-8.0-14.0-0.0","1532728108878","10-436","13-437","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","23","796560","0.0-9.0","1532728108878","10-436","13-437","14126","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","1","","","","","","","","","","",""
