"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Learners_Guess_time","Examples","Examples_times","Inside","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","1982","0.0-0.0","1532722720998","10-247","30-x","","","","","","","","","","","","","","","",""
"","survey-text","1","17425","0.0-1.0","1532722720998","10-247","30-x","15441","{""Q0"":""30-x"",""Q1"":""10-247""}","","","","","","","","","","","","","",""
"","waiting-room","2","91146","0.0-2.0","1532722720998","10-247","30-x","","","0","69559925-e687-4f1d-9bea-472ec5b6744a","","","","","","","","","","","",""
"","learner","3","253278","0.0-3.0-0.0","1532722720998","10-247","30-x","15448,10976,9818,8785,12287,12507,10825,14183","","","","[530,652,311,655]","[446,685,382,562],[505,694,438,584],[499,704,331,604],[492,718,349,663],[447,663,313,657],[485,712,303,654],[483,662,313,660],[534,640,318,651]","1532722819041,1532722842449,1532722858691,1532722871460,1532722890347,1532722917766,1532722935686,1532722956526","[556,470],[626,533],[584,364],[604,639],[575,330],[466,481],[686,483],[518,484]","1532722803355,1532722831235,1532722848636,1532722862438,1532722877822,1532722905022,1532722924616,1532722942105","true,true,true,true,true,false,false,false","true,true,true,true,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","4","255281","0.0-3.0-2.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","5","311119","0.0-3.0-3.0","1532722720998","10-247","30-x","10201,7402,7193,7344","","","","[255,619,232,521]","[161,428,135,381],[276,530,246,454],[274,590,243,474],[272,610,237,510]","1532722978664,1532722992017,1532723003729,1532723014369","[283,254],[275,189],[576,288],[536,496]","1532722968225,1532722984377,1532722996300,1532723006788","true,false,true,true","true,true,true,true","[864,864]","true","null","",""
"","image-button-response","6","313121","0.0-3.0-5.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","7","338119","0.0-4.0","1532722720998","10-247","30-x","24996","","","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","353751","0.0-5.0","1532722720998","10-247","30-x","15631","","","","","","","","","","","","","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","354296","0.0-6.0","1532722720998","10-247","30-x","","","0","fc1f7c90-c4ca-4017-888d-734ef1c7a4d4","","","","","","","","","","","",""
"","learner","10","402533","0.0-7.0-0.0","1532722720998","10-247","30-x","6048,4624,7144,6791,6948","","","","[575,661,147,233]","[365,626,115,391],[391,676,117,421],[561,743,127,345],[559,691,139,283],[572,670,145,234]","1532723068228,1532723076540,1532723086308,1532723095300,1532723105783","[583,154],[656,226],[652,159],[588,223],[644,251]","1532723061943,1532723071672,1532723078928,1532723088272,1532723098600","true,true,true,true,false","true,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","11","404536","0.0-7.0-2.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","12","429897","0.0-7.0-3.0","1532722720998","10-247","30-x","6846,6721","","","","[381,623,317,606]","[405,627,342,503],[405,622,344,601]","1532723121751,1532723133143","[414,354],[613,594]","1532723114664,1532723126179","true,true","true,true","[864,864]","true","null","",""
"","image-button-response","13","431899","0.0-7.0-5.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","14","456198","0.0-7.0-6.0","1532722720998","10-247","30-x","7272,5177","","","","[433,528,443,529]","[476,678,480,704],[474,527,484,527]","1532723148399,1532723159447","[479,490],[519,516]","1532723140834,1532723154034","true,true","true,true","[864,864]","true","null","",""
"","image-button-response","15","458200","0.0-7.0-8.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","16","519840","0.0-7.0-9.0","1532722720998","10-247","30-x","4297,4979,13618,7514,6617","","","","[234,322,393,745]","[296,497,410,621],[295,373,409,499],[230,368,404,748],[228,368,387,748],[218,328,379,746]","1532723171466,1532723178722,1532723198290,1532723213154,1532723223033","[303,418],[382,505],[252,734],[242,399],[346,565]","1532723166922,1532723173506,1532723184437,1532723205405,1532723216181","true,false,true,true,false","true,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","17","521842","0.0-7.0-11.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","18","565898","0.0-7.0-12.0","1532722720998","10-247","30-x","4385,3475,3568","","","","[289,520,536,711]","[390,624,619,812],[389,523,620,726],[292,517,541,712]","1532723234380,1532723248005,1532723269148","[401,627],[507,702],[299,550]","1532723229757,1532723244208,1532723265344","true,true,true","true,true,true","[864,864]","true","null","",""
"","image-button-response","19","567901","0.0-7.0-14.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","20","579240","0.0-8.0","1532722720998","10-247","30-x","11339","","","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","0"
"","waiting-room","21","579782","0.0-9.0","1532722720998","10-247","30-x","","","0","dffbe6e3-41bf-4c35-8422-14bac0194b14","","","","","","","","","","","",""
"","learner","22","625605","0.0-10.0-0.0","1532722720998","10-247","30-x","12392,11361,5476","","","","[126,363,322,415]","[423,831,346,838],[70,321,156,516],[131,358,333,418]","1532723303694,1532723319239,1532723328855","[412,335],[142,342],[347,407]","1532723291041,1532723307644,1532723323139","false,true,true","true,true,true","[864,864]","true","null","",""
"","image-button-response","23","627607","0.0-10.0-2.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","24","647557","0.0-10.0-3.0","1532722720998","10-247","30-x","4953,4626","","","","[660,746,687,773]","[696,856,720,859],[662,716,687,749]","1532723341384,1532723350808","[705,734],[669,697]","1532723336197,1532723345947","true,true","true,true","[864,864]","true","null","",""
"","image-button-response","25","649561","0.0-10.0-5.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","26","677993","0.0-10.0-6.0","1532722720998","10-247","30-x","4610,7882,6858","","","","[205,741,473,595]","[446,651,419,570],[439,742,418,590],[214,741,479,611]","1532723361371,1532723371866,1532723381243","[430,412],[726,580],[222,491]","1532723356524,1532723363747,1532723374150","false,true,true","true,true,true","[864,864]","true","null","",""
"","image-button-response","27","679996","0.0-10.0-8.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","28","705587","0.0-10.0-9.0","1532722720998","10-247","30-x","3735,4224,4970","","","","[463,632,178,692]","[467,607,182,340],[465,545,183,707],[463,657,187,695]","1532723390522,1532723400859,1532723408819","[476,192],[478,682],[622,682]","1532723386551,1532723396399,1532723403614","true,true,true","true,true,true","[864,864]","true","null","",""
"","image-button-response","29","707590","0.0-10.0-11.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","30","740985","0.0-10.0-12.0","1532722720998","10-247","30-x","6537,3466,3282,3933","","","","[330,475,197,283]","[30,851,52,854],[388,665,234,490],[331,414,191,266],[316,494,189,298]","1532723422677,1532723430653,1532723436662,1532723444213","[8,859],[397,245],[340,207],[464,273]","1532723415903,1532723426952,1532723433146,1532723440025","false,true,true,true","true,true,true,true","[864,864]","true","null","",""
"","image-button-response","31","742987","0.0-10.0-14.0-0.0","1532722720998","10-247","30-x","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","32","749864","0.0-11.0","1532722720998","10-247","30-x","6876","","","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 2 </font></p>","0"
"","waiting-room","33","750192","0.0-12.0","1532722720998","10-247","30-x","","","0","6f1c5b69-c882-44a4-86c2-00166b947258","","","","","","","","","","","",""
"","learner","34","793952","0.0-13.0-0.0","1532722720998","10-247","30-x","3897,3433,9003,5432,5417","","","","[327,433,593,774]","[374,619,678,812],[322,408,577,705],[326,399,597,712],[319,446,595,702],[326,457,596,783]","1532723459909,1532723468269,1532723482655,1532723490327,1532723497199","[382,689],[338,602],[396,589],[425,605],[423,762]","1532723455778,1532723464602,1532723473418,1532723484658,1532723491546","true,true,false,true,true","true,true,true,true,true","[864,864]","true","null","",""
