"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Learners_Guess_time","Examples","Examples_times","Inside","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","2033","0.0-0.0","1532727013316","8-307","xx-29","","","","","","","","","","","","","","","",""
"","survey-text","1","58174","0.0-1.0","1532727013316","8-307","xx-29","56137","{""Q0"":""xx-29"",""Q1"":""8-307""}","","","","","","","","","","","","","",""
"","waiting-room","2","124678","0.0-2.0","1532727013316","8-307","xx-29","","","0","e175f50b-ae6a-4c20-a869-90a7029c6ef8","","","","","","","","","","","",""
"","learner","3","272049","0.0-3.0-0.0","1532727013316","8-307","xx-29","22996,24042,33421,16609","","","","[439,578,240,476]","[353,617,261,435],[325,604,277,458],[327,595,285,442],[429,564,233,489]","1532727115266,1532727146834,1532727188237,1532727226867","[458,330],[585,242],[579,459],[496,366]","1532727092019,1532727122543,1532727154566,1532727210009","true,false,false,true","true,true,true,true","[864,864]","true","null","",""
"","image-button-response","4","274051","0.0-3.0-2.0-0.0","1532727013316","8-307","xx-29","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","5","495824","0.0-3.0-3.0","1532727013316","8-307","xx-29","9577,18649,18270,19298,25123,21300,48493","","","","[580,776,101,187]","[590,765,65,322],[581,739,70,301],[629,750,68,367],[591,775,37,292],[590,770,96,325],[634,768,14,179],[599,772,104,183]","1532727261919,1532727292615,1532727318652,1532727340683,1532727376621,1532727400535,1532727450641","[673,172],[782,104],[583,188],[683,144],[781,194],[678,196],[676,84]","1532727252093,1532727273717,1532727300133,1532727321136,1532727351249,1532727378987,1532727401899","true,false,false,true,false,false,false","true,true,true,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","6","497826","0.0-3.0-5.0-0.0","1532727013316","8-307","xx-29","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","7","520451","0.0-4.0","1532727013316","8-307","xx-29","22623","","","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","540699","0.0-5.0","1532727013316","8-307","xx-29","20246","","","","","","","","","","","","","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","546660","0.0-6.0","1532727013316","8-307","xx-29","","","0","741ac749-ce1c-4c73-b1e2-ceb796c2cd81","","","","","","","","","","","",""
"","learner","10","691210","0.0-7.0-0.0","1532727013316","8-307","xx-29","5865,7969,11593,12337,10976,39277,15122,12658","","","","[115,486,506,676]","[365,545,590,659],[389,536,517,669],[386,507,508,688],[357,559,517,680],[328,512,514,662],[429,541,489,670],[94,627,503,711],[110,579,502,649]","1532727512524,1532727522427,1532727538228,1532727552259,1532727565052,1532727605431,1532727621879,1532727646002","[436,608],[463,494],[428,500],[397,499],[356,495],[477,509],[116,511],[107,675]","1532727506407,1532727514209,1532727526385,1532727539674,1532727553809,1532727565906,1532727606510,1532727633095","true,false,false,false,false,true,true,false","true,true,true,true,true,false,true,true","[864,864]","false","null","",""
"","image-button-response","11","693213","0.0-7.0-1.0-0.0","1532727013316","8-307","xx-29","null","","","","","","","","","","","","","","img/thumb_down.png","null"
"","learner","12","821236","0.0-7.0-3.0","1532727013316","8-307","xx-29","18306,8325,9074,6801,5721,6820,5497,7616","","","","[651,772,311,623]","[266,659,354,513],[696,838,215,569],[593,702,267,574],[699,819,234,552],[667,810,341,575],[680,783,224,503],[678,785,352,605],[632,798,329,603]","1532727679250,1532727705565,1532727725236,1532727737325,1532727746501,1532727758120,1532727765768,1532727776055","[673,94],[780,622],[655,626],[635,296],[693,493],[711,452],[723,560],[771,304]","1532727660695,1532727696986,1532727715914,1532727730274,1532727740533,1532727751053,1532727760021,1532727768189","false,false,false,false,true,true,true,false","true,true,true,true,true,true,true,true","[864,864]","false","null","",""
"","image-button-response","13","823238","0.0-7.0-4.0-0.0","1532727013316","8-307","xx-29","null","","","","","","","","","","","","","","img/thumb_down.png","null"
"","learner","14","928498","0.0-7.0-6.0","1532727013316","8-307","xx-29","12434,7361,16570,13251,22427","","","","[241,754,359,445]","[581,717,403,622],[256,746,439,600],[252,745,445,579],[240,754,305,415],[222,744,351,433]","1532727798936,1532727809264,1532727836899,1532727858308,1532727883317","[755,448],[240,442],[174,331],[246,361],[753,355]","1532727786254,1532727801655,1532727820079,1532727844807,1532727860640","false,false,false,true,false","true,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","15","930500","0.0-7.0-8.0-0.0","1532727013316","8-307","xx-29","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","16","982059","0.0-7.0-9.0","1532727013316","8-307","xx-29","9819,11473,17667","","","","[687,773,449,535]","[656,755,353,618],[485,771,438,538],[644,764,438,550]","1532727902981,1532727918085,1532727936878","[690,457],[782,450],[779,536]","1532727892914,1532727906347,1532727918963","true,false,false","true,true,true","[864,864]","true","null","",""
"","image-button-response","17","984060","0.0-7.0-11.0-0.0","1532727013316","8-307","xx-29","null","","","","","","","","","","","","","","img/thumb_up.png","null"
