"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","Examples","Inside","Examples_times","Teachers_Box","Learners_Guess","Learners_Guess_time","canvas_size","won","key_press"
"true","fullscreen","0","2271","0.0-0.0","1532726999202","8-307","xx-29","","","","","","","","","","","","","","",""
"","survey-text","1","20200","0.0-1.0","1532726999202","8-307","xx-29","17926","{""Q0"":""8-307"",""Q1"":""xx-29""}","","","","","","","","","","","","",""
"","my_image_button","2","52112","0.0-2.0-0.0","1532726999202","8-307","xx-29","31910","","img/caja.png","0","","","","","","","","","","",""
"","my_image_button","3","69450","0.0-2.0-1.0","1532726999202","8-307","xx-29","17337","","img/caja_con_ejemplos.png","0","","","","","","","","","","",""
"","my_image_button","4","100202","0.0-2.0-2.0","1532726999202","8-307","xx-29","30751","","","0","","","","","","","","","","",""
"","waiting-room","5","100731","0.0-3.0","1532726999202","8-307","xx-29","","","","","0","e175f50b-ae6a-4c20-a869-90a7029c6ef8","","","","","","","","",""
"","teacher","6","247940","0.0-4.0-0.0","1532726999202","8-307","xx-29","12284,7203,7659,21699","","","","","","[458,330],[585,242],[579,459],[496,366]","true,false,false,true","1532727092019,1532727122543,1532727154566,1532727210009","[439,578,240,476]","[353,617,261,435],[325,604,277,458],[327,595,285,442],[429,564,233,489]","1532727115266,1532727146834,1532727188237,1532727226867","[864,864]","true","null"
"","image-button-response","7","249944","0.0-4.0-2.0-0.0","1532726999202","8-307","xx-29","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","8","471717","0.0-4.0-3.0","1532726999202","8-307","xx-29","23146,11724,7442,2410,10491,2294,1291","","","","","","[673,172],[782,104],[583,188],[683,144],[781,194],[678,196],[676,84]","true,false,false,true,false,false,false","1532727252093,1532727273717,1532727300133,1532727321136,1532727351249,1532727378987,1532727401899","[580,776,101,187]","[590,765,65,322],[581,739,70,301],[629,750,68,367],[591,775,37,292],[590,770,96,325],[634,768,14,179],[599,772,104,183]","1532727261919,1532727292615,1532727318652,1532727340683,1532727376621,1532727400535,1532727450641","[864,864]","true","null"
"","image-button-response","9","473718","0.0-4.0-5.0-0.0","1532726999202","8-307","xx-29","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","10","491478","0.0-5.0","1532726999202","8-307","xx-29","17758","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","",""
"","html-button-response","11","522190","0.0-6.0","1532726999202","8-307","xx-29","30710","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","",""
"","waiting-room","12","522714","0.0-7.0","1532726999202","8-307","xx-29","","","","","0","741ac749-ce1c-4c73-b1e2-ceb796c2cd81","","","","","","","","",""
"","teacher","13","667085","0.0-8.0-0.0","1532726999202","8-307","xx-29","4690,1611,3884,1373,1471,780,1003,11139","","","","","","[436,608],[463,494],[428,500],[397,499],[356,495],[477,509],[116,511],[107,675]","true,false,false,false,false,true,true,false","1532727506407,1532727514209,1532727526385,1532727539674,1532727553809,1532727565906,1532727606510,1532727633095","[115,486,506,676]","[365,545,590,659],[389,536,517,669],[386,507,508,688],[357,559,517,680],[328,512,514,662],[429,541,489,670],[94,627,503,711],[110,579,502,649]","1532727512524,1532727522427,1532727538228,1532727552259,1532727565052,1532727605431,1532727621879,1532727646002","[864,864]","false","null"
"","image-button-response","14","669088","0.0-8.0-1.0-0.0","1532726999202","8-307","xx-29","null","","img/thumb_down.png","null","","","","","","","","","","",""
"","teacher","15","797128","0.0-8.0-3.0","1532726999202","8-307","xx-29","12603,17659,10275,4964,3134,4474,1828,2348","","","","","","[673,94],[780,622],[655,626],[635,296],[693,493],[711,452],[723,560],[771,304]","false,false,false,false,true,true,true,false","1532727660695,1532727696986,1532727715914,1532727730274,1532727740533,1532727751053,1532727760021,1532727768189","[651,772,311,623]","[266,659,354,513],[696,838,215,569],[593,702,267,574],[699,819,234,552],[667,810,341,575],[680,783,224,503],[678,785,352,605],[632,798,329,603]","1532727679250,1532727705565,1532727725236,1532727737325,1532727746501,1532727758120,1532727765768,1532727776055","[864,864]","false","null"
"","image-button-response","16","799130","0.0-8.0-4.0-0.0","1532726999202","8-307","xx-29","null","","img/thumb_down.png","null","","","","","","","","","","",""
"","teacher","17","904392","0.0-8.0-6.0","1532726999202","8-307","xx-29","8120,2636,10739,7813,2259","","","","","","[755,448],[240,442],[174,331],[246,361],[753,355]","false,false,false,true,false","1532727786254,1532727801655,1532727820079,1532727844807,1532727860640","[241,754,359,445]","[581,717,403,622],[256,746,439,600],[252,745,445,579],[240,754,305,415],[222,744,351,433]","1532727798936,1532727809264,1532727836899,1532727858308,1532727883317","[864,864]","true","null"
"","image-button-response","18","906395","0.0-8.0-8.0-0.0","1532726999202","8-307","xx-29","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","19","957954","0.0-8.0-9.0","1532726999202","8-307","xx-29","7516,3289,801","","","","","","[690,457],[782,450],[779,536]","true,false,false","1532727892914,1532727906347,1532727918963","[687,773,449,535]","[656,755,353,618],[485,771,438,538],[644,764,438,550]","1532727902981,1532727918085,1532727936878","[864,864]","true","null"
"","image-button-response","20","959957","0.0-8.0-11.0-0.0","1532726999202","8-307","xx-29","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","21","1025027","0.0-8.0-12.0","1532726999202","8-307","xx-29","9581,3099,3371,2267,6387","","","","","","[335,718],[375,675],[293,677],[291,761],[378,764]","true,true,true,false,false","1532727948541,1532727961725,1532727970926,1532727980766,1532727996046","[291,377,674,760]","[248,447,679,771],[235,474,617,760],[257,409,620,761],[256,413,622,748],[285,386,634,745]","1532727958553,1532727967481,1532727978425,1532727989584,1532728003954","[864,864]","true","null"
"","image-button-response","22","1027031","0.0-8.0-14.0-0.0","1532726999202","8-307","xx-29","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","23","1035344","0.0-9.0","1532726999202","8-307","xx-29","8312","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","1","","","","","","","","","","",""
