"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Circles","Crosses","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","33396","0.0-0.0","1532114548824","8-403","8-223","","","","","","","","","","","","","",""
"","survey-text","1","42482","0.0-1.0","1532114548824","8-403","8-223","9082","{""Q0"":""8-223"",""Q1"":""8-403""}","","","","","","","","","","","",""
"","waiting-room","2","151646","0.0-2.0","1532114548824","8-403","8-223","","","0","30bff16d-4e46-4679-8d1a-024c9ee4b5bb","","","","","","","","","",""
"","learner","3","427398","0.0-3.0-0.0","1532114548824","8-403","8-223","20462,14873,18383,14831,31186,29150,20569,24713","","","","[353,742,102,188]","[328,464,373,469],[358,473,480,565],[366,485,366,464],[456,597,119,210],[294,414,122,206],[365,543,92,182],[622,718,167,224],[321,430,125,184]","[537,146],[475,147],[384,153],[637,145]","[294,306],[529,316],[790,206],[623,72]","true,true,true,true,false,true,false,false","864,864","false","null","",""
"","html-button-response","4","430402","0.0-3.0-1.0-0.0","1532114548824","8-403","8-223","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","learner","5","598462","0.0-3.0-3.0","1532114548824","8-403","8-223","9543,10985,11629,25690,10559,17781,20231,29076","","","","[670,756,469,768]","[298,462,215,301],[412,645,549,668],[268,374,578,671],[420,516,661,757],[714,820,685,782],[326,460,551,647],[700,769,572,644],[696,774,462,551]","[709,619]","[649,430],[770,434],[659,608],[787,612],[650,765],[773,774],[780,705]","true,true,true,true,true,true,true,false","864,864","false","null","",""
"","html-button-response","6","601465","0.0-3.0-4.0-0.0","1532114548824","8-403","8-223","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","check_point_button","7","661616","0.0-4.0","1532114548824","8-403","8-223","60150","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","683504","0.0-5.0","1532114548824","8-403","8-223","21888","","","","","","","","","","","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","685255","0.0-6.0","1532114548824","8-403","8-223","","","0","cccd32c7-78b7-4667-8cda-d6760fcaeaa7","","","","","","","","","",""
"","learner","10","837388","0.0-7.0-0.0","1532114548824","8-403","8-223","11459,21704,12139,7436,7452,11061,43447,14944","","","","[682,768,295,505]","[413,585,412,508],[441,539,278,369],[700,810,95,205],[334,458,251,338],[671,788,652,744],[660,796,118,190],[688,789,558,600],[709,759,370,486]","","[637,497],[810,500],[793,292],[642,298],[803,412],[644,404],[728,536],[720,263]","true,true,true,true,true,true,true,true","864,864","false","null","",""
"","html-button-response","11","840390","0.0-7.0-1.0-0.0","1532114548824","8-403","8-223","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","learner","12","1037343","0.0-7.0-3.0","1532114548824","8-403","8-223","9445,30464,7052,18889,50776,19736,14965,14758","","","","[157,691,500,698]","[409,497,553,618],[530,584,530,586],[226,294,523,606],[408,521,622,673],[402,506,546,632],[260,372,568,612],[503,616,632,668],[360,454,618,702]","[432,602],[195,611],[660,600]","[684,471],[141,469],[156,726],[691,718],[408,457]","true,false,false,false,true,false,false,false","864,864","false","null","",""
"","html-button-response","13","1040345","0.0-7.0-4.0-0.0","1532114548824","8-403","8-223","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","learner","14","1435848","0.0-7.0-6.0","1532114548824","8-403","8-223","35273,18611,48618,32442,117508,51943,23670,44858","","","","[432,753,329,548]","[469,523,697,799],[470,534,368,443],[554,619,415,457],[410,464,340,393],[541,621,396,475],[627,705,392,441],[509,567,440,497],[503,606,412,565]","[579,432],[594,514]","[430,590],[758,603],[733,294],[422,300],[776,431],[396,427]","true,false,true,false,true,false,false,true","864,864","false","null","",""
"","html-button-response","15","1438850","0.0-7.0-7.0-0.0","1532114548824","8-403","8-223","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","learner","16","1733264","0.0-7.0-9.0","1532114548824","8-403","8-223","23566,18778,34664,30081,38741,24793,48398,28474","","","","[321,743,456,767]","[498,576,218,291],[496,564,537,615],[390,493,564,659],[496,607,589,654],[494,560,573,649],[489,559,527,650],[482,557,556,616],[493,613,573,684]","[520,612]","[508,401],[518,814],[273,595],[784,602],[292,432],[282,754],[760,433]","true,true,true,true,true,true,true,true","864,864","false","null","",""
"","html-button-response","17","1736268","0.0-7.0-10.0-0.0","1532114548824","8-403","8-223","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","learner","18","1834054","0.0-7.0-12.0","1532114548824","8-403","8-223","28995,43786,14169","","","","[507,628,183,348]","[557,662,240,364],[539,673,172,287],[547,687,173,376]","[566,267],[564,206],[562,333]","","true,true,true","864,864","true","null","",""
"","html-button-response","19","1837055","0.0-7.0-14.0-0.0","1532114548824","8-403","8-223","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","20","1907758","0.0-8.0","1532114548824","8-403","8-223","70701","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","1"
