"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Teachers_Box","Learners_Guess","canvas_size","won","key_press"
"true","fullscreen","0","2676","0.0-0.0","1532120571354","7-215","7-252","","","","","","","","","","","","","","","","",""
"","survey-text","1","19092","0.0-1.0","1532120571354","7-215","7-252","16413","{""Q0"":""7-215"",""Q1"":""7-252""}","","","","","","","","","","","","","","",""
"","my_image_button","2","55165","0.0-2.0-0.0","1532120571354","7-215","7-252","36071","","img/caja.png","0","","","","","","","","","","","","",""
"","my_image_button","3","94681","0.0-2.0-1.0","1532120571354","7-215","7-252","39515","","img/caja_con_ejemplos.png","0","","","","","","","","","","","","",""
"","my_image_button","4","116345","0.0-2.0-2.0","1532120571354","7-215","7-252","21663","","","0","","","","","","","","","","","","",""
"","waiting-room","5","116685","0.0-3.0","1532120571354","7-215","7-252","","","","","0","c7c279c2-50d3-487c-8444-1ec718b8848a","","","","","","","","","","",""
"","teacher","6","663093","0.0-4.0-0.0","1532120571354","7-215","7-252","13159,13837,13948,12983,27804,13269,8812,12523","","","","","","228","697","520","732","[372,568],[284,696],[672,545],[600,615],[249,534],[519,720]","[788,550],[170,384]","[228,697,520,732]","[352,484,483,599],[236,385,482,612],[357,576,520,694],[277,461,557,740],[254,565,559,759],[596,693,532,719],[176,691,511,789],[211,694,512,760]","864,864","true","null"
"","html-button-response","7","666095","0.0-4.0-2.0-0.0","1532120571354","7-215","7-252","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","8","935446","0.0-4.0-3.0","1532120571354","7-215","7-252","12694,16626,7315,29682,12641,8188,21357,4914","","","","","","602","744","304","713","[630,681],[739,704],[639,315],[666,512],[677,513],[663,536],[677,541]","[242,497]","[602,744,304,713]","[569,686,657,754],[598,769,534,737],[564,800,545,794],[527,854,263,787],[520,745,171,837],[526,824,111,836],[467,761,14,837],[578,784,281,806]","864,864","false","null"
"","html-button-response","9","938448","0.0-4.0-4.0-0.0","1532120571354","7-215","7-252","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","check_point_button","10","997808","0.0-5.0","1532120571354","7-215","7-252","59359","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","","","",""
"","html-button-response","11","999720","0.0-6.0","1532120571354","7-215","7-252","1910","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","","","",""
"","waiting-room","12","1006036","0.0-7.0","1532120571354","7-215","7-252","","","","","0","ad46b1e7-7466-47ee-bfd4-24476627eaa2","","","","","","","","","","",""
"","teacher","13","1228739","0.0-8.0-0.0","1532120571354","7-215","7-252","5299,8785,12706,5687,8032,5103,1353,11375","","","","","","445","645","456","752","[452,467],[640,465],[456,744],[585,587],[636,743],[639,747]","[302,476],[770,400]","[445,645,456,752]","[518,685,663,828],[364,498,397,818],[376,860,287,795],[371,851,406,750],[400,801,415,819],[363,797,458,782],[425,751,459,774],[440,744,460,806]","864,864","false","null"
"","html-button-response","14","1231743","0.0-8.0-1.0-0.0","1532120571354","7-215","7-252","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","teacher","15","1333355","0.0-8.0-3.0","1532120571354","7-215","7-252","6714,2671,2623,6839,5105","","","","","","245","378","545","631","[295,580],[335,580],[294,610],[316,618],[335,608]","","[245,378,545,631]","[231,589,529,692],[197,706,249,645],[284,650,540,665],[174,590,568,670],[255,360,567,637]","864,864","true","null"
"","html-button-response","16","1336357","0.0-8.0-5.0-0.0","1532120571354","7-215","7-252","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","17","1497871","0.0-8.0-6.0","1532120571354","7-215","7-252","3907,5279,5503,4304,8760,12199,8150,6766","","","","","","241","327","369","518","[307,395],[323,513],[254,378],[249,517],[320,376],[252,378],[250,441],[263,445]","","[241,327,369,518]","[242,406,351,437],[272,383,341,580],[128,348,354,595],[222,453,365,663],[155,679,333,732],[207,831,307,769],[94,653,362,665],[233,348,150,620]","864,864","false","null"
"","html-button-response","18","1500873","0.0-8.0-7.0-0.0","1532120571354","7-215","7-252","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","teacher","19","1636040","0.0-8.0-9.0","1532120571354","7-215","7-252","6135,4376,5820,5638,7294,4535,8040,5062","","","","","","120","206","162","411","[203,167],[128,169],[125,408],[202,408],[131,261],[147,263],[164,263],[179,264]","","[120,206,162,411]","[139,311,162,351],[88,252,110,298],[54,627,146,512],[96,230,136,476],[79,215,103,501],[110,221,138,592],[112,236,132,460],[85,242,164,485]","864,864","false","null"
"","html-button-response","20","1639042","0.0-8.0-10.0-0.0","1532120571354","7-215","7-252","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","teacher","21","1831326","0.0-8.0-12.0","1532120571354","7-215","7-252","4667,3838,7499,3992,6716,4151,4830,5061","","","","","","551","637","668","754","[559,676],[635,675],[556,747],[635,749],[636,752],[559,675],[636,675],[598,706]","","[551,637,668,754]","[406,711,629,730],[458,745,535,756],[484,659,433,824],[542,662,659,822],[306,692,669,805],[552,670,624,790],[463,783,600,825],[441,811,659,785]","864,864","false","null"
"","html-button-response","22","1834329","0.0-8.0-13.0-0.0","1532120571354","7-215","7-252","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","check_point_button","23","1904324","0.0-9.0","1532120571354","7-215","7-252","69993","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","1","","","","","","","","","","","","",""
