"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2168","0.0-0.0","1532714826936","13-264","","","","","","","","","","","","",""
"","survey-text","1","11141","0.0-1.0","1532714826936","13-264","8971","{""Q0"":""13-264""}","","","","","","","","","","",""
"","my_image_button","2","27989","0.0-2.0-0.0","1532714826936","13-264","16847","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","44612","0.0-2.0-1.0","1532714826936","13-264","16622","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","56116","0.0-2.0-2.0","1532714826936","13-264","11503","","","0","","","","","","","","",""
"","learner","5","74431","0.0-3.0-0.0","1532714826936","13-264","18310","","","","true","225","363","199","349","[253.99,332.96],[348.65,209.6]","","true","null"
"","learner","6","86143","0.0-3.0-1.0","1532714826936","13-264","11709","","","","true","388","454","567","698","[440.51,575.22]","[399.14,718.05]","true","null"
"","learner","7","93318","0.0-3.0-2.0","1532714826936","13-264","7174","","","","true","329","537","574","701","","[549.44,604.51],[378.89,726.36]","true","null"
"","learner","8","105983","0.0-3.0-3.0","1532714826936","13-264","12662","","","","true","285","478","246","528","[341.23,511.68]","[481.99,220.07]","true","null"
"","check_point_button","9","128306","0.0-4.0","1532714826936","13-264","22322","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","142643","0.0-5.0","1532714826936","13-264","14336","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","149610","0.0-6.0-0.0","1532714826936","13-264","6966","","","","false","567","785","376","511","","[765.1,534.99],[527.78,400.39]","true","null"
"","learner","12","156137","0.0-6.0-1.0","1532714826936","13-264","6525","","","","false","467","626","218","497","","[493.38,517.65],[639.42,230.05]","true","null"
"","learner","13","163169","0.0-6.0-2.0","1532714826936","13-264","7030","","","","false","516","581","971","1103","[458.34,395.03],[419.75,283.65]","","false","null"
"","learner","14","169946","0.0-6.0-3.0","1532714826936","13-264","6775","","","","false","264","506","399","609","","[266.99,371.15],[526.38,602.2]","true","null"
"","learner","15","183058","0.0-6.0-4.0","1532714826936","13-264","13110","","","","false","531","634","563","761","[619.2,571.66]","[553.7,773.62]","true","null"
"","check_point_button","16","190028","0.0-7.0","1532714826936","13-264","6967","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","200035","0.0-8.0-0.0","1532714826936","13-264","10006","","","","false","405","559","402","500","[542.62,415.23],[435.76,478.17]","","true","null"
