"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2522","0.0-0.0","1532717057367","5-274","","","","","","","","","","","","",""
"","survey-text","1","6862","0.0-1.0","1532717057367","5-274","4338","{""Q0"":""5-274""}","","","","","","","","","","",""
"","my_image_button","2","25694","0.0-2.0-0.0","1532717057367","5-274","18829","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","50693","0.0-2.0-1.0","1532717057367","5-274","24998","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","61888","0.0-2.0-2.0","1532717057367","5-274","11194","","","0","","","","","","","","",""
"","learner","5","94705","0.0-3.0-0.0","1532717057367","5-274","32811","","","","true","340","620","585","753","[616.64,437.43],[675.15,331.12]","","false","null"
"","learner","6","143365","0.0-3.0-1.0","1532717057367","5-274","48658","","","","true","521","699","342","973","[438.46,466.5]","[699.62,334.33]","true","null"
"","learner","7","184823","0.0-3.0-2.0","1532717057367","5-274","41454","","","","true","528","607","545","973","","[360.37,646.39],[603.07,537.04]","true","null"
"","learner","8","232057","0.0-3.0-3.0","1532717057367","5-274","47234","","","","true","464","542","973","1594","[339.7,631.82]","[617.7,344.69]","false","null"
"","check_point_button","9","239842","0.0-4.0","1532717057367","5-274","7783","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","1","","","","","","","","",""
"","html-button-response","10","241010","0.0-5.0","1532717057367","5-274","1166","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","260794","0.0-6.0-0.0","1532717057367","5-274","19782","","","","false","627","886","83","742","[715.74,660.9]","[611,742.34]","true","null"
"","learner","12","292709","0.0-6.0-1.0","1532717057367","5-274","31912","","","","false","501","671","629","973","","[551.88,546.2],[336.28,470.93]","true","null"
"","learner","13","316933","0.0-6.0-2.0","1532717057367","5-274","24220","","","","false","532","534","973","973","","[420.08,736.99],[426.57,608.6]","true","null"
"","learner","14","331351","0.0-6.0-3.0","1532717057367","5-274","14417","","","","false","676","712","613","955","","[207.89,395.63],[716.76,631.92]","true","null"
"","learner","15","372792","0.0-6.0-4.0","1532717057367","5-274","41439","","","","false","511","606","81","973","[333.53,525.12],[495.68,624.14]","","false","null"
"","check_point_button","16","385841","0.0-7.0","1532717057367","5-274","13047","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","1","","","","","","","","",""
