"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2008","0.0-0.0","1532723235422","6-294","","","","","","","","","","","","",""
"","survey-text","1","7771","0.0-1.0","1532723235422","6-294","5761","{""Q0"":""6-294""}","","","","","","","","","","",""
"","my_image_button","2","24540","0.0-2.0-0.0","1532723235422","6-294","16765","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","49444","0.0-2.0-1.0","1532723235422","6-294","24903","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","88560","0.0-2.0-2.0","1532723235422","6-294","39115","","","0","","","","","","","","",""
"","learner","5","193188","0.0-3.0-0.0","1532723235422","6-294","104622","","","","true","434","607","471","643","[561.08,565.69],[461.4,533.79]","","true","null"
"","learner","6","206340","0.0-3.0-1.0","1532723235422","6-294","13150","","","","true","578","742","414","569","[640.53,438.12]","[545.89,405.58]","true","null"
"","learner","7","246928","0.0-3.0-2.0","1532723235422","6-294","40585","","","","true","298","451","606","734","","[486.09,637.77],[305.88,529.52]","true","null"
"","learner","8","257888","0.0-3.0-3.0","1532723235422","6-294","10957","","","","true","510","693","408","565","[601.34,424.21]","[682.17,323]","true","null"
"","check_point_button","9","296099","0.0-4.0","1532723235422","6-294","38209","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","309484","0.0-5.0","1532723235422","6-294","13383","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","319539","0.0-6.0-0.0","1532723235422","6-294","10054","","","","false","404","607","693","833","[495.23,744.16]","[354.09,654.94]","true","null"
"","learner","12","343084","0.0-6.0-1.0","1532723235422","6-294","23543","","","","false","429","603","318","449","","[732.42,408.59],[758.51,284.86]","true","null"
"","learner","13","351828","0.0-6.0-2.0","1532723235422","6-294","8742","","","","false","448","671","538","748","[555.41,577.45]","[564.06,391.37]","true","null"
"","learner","14","360559","0.0-6.0-3.0","1532723235422","6-294","8730","","","","false","420","598","460","605","","[467.42,354.65],[316.16,458.53]","true","null"
"","learner","15","379679","0.0-6.0-4.0","1532723235422","6-294","19118","","","","false","333","707","359","501","[363.27,380.74],[689.22,475.9]","","true","null"
"","check_point_button","16","392943","0.0-7.0","1532723235422","6-294","13262","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","405903","0.0-8.0-0.0","1532723235422","6-294","12959","","","","false","486","608","567","686","","[752.7,600.72],[640.64,653.25]","true","null"
"","learner","18","412151","0.0-8.0-1.0","1532723235422","6-294","6246","","","","false","485","694","361","609","[580.99,435.67]","[694.43,735.62]","true","null"
"","learner","19","419178","0.0-8.0-2.0","1532723235422","6-294","7025","","","","false","306","542","297","454","[440.16,335.91]","[520.77,230.26]","true","null"
"","learner","20","446883","0.0-8.0-3.0","1532723235422","6-294","27702","","","","false","394","609","455","652","[443.02,550.32],[545.41,515.6]","","true","null"
"","learner","21","452579","0.0-8.0-4.0","1532723235422","6-294","5694","","","","false","552","702","664","757","[615.27,697.2]","[776.9,592.13]","true","null"
"","check_point_button","22","465084","0.0-9.0","1532723235422","6-294","12503","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","475787","0.0-10.0-0.0","1532723235422","6-294","10702","","","","false","414","512","544","698","","[610.19,580.64],[537.63,663.27]","true","null"
"","learner","24","489157","0.0-10.0-1.0","1532723235422","6-294","13368","","","","false","207","401","424","576","[334.89,429.79],[276.85,508.72]","","true","null"
"","learner","25","495654","0.0-10.0-2.0","1532723235422","6-294","6495","","","","false","375","484","485","578","","[500.91,569.14],[586.74,486.92]","true","null"
"","learner","26","504326","0.0-10.0-3.0","1532723235422","6-294","8669","","","","false","493","613","242","379","","[528.23,397.24],[690.04,195.98]","true","null"
"","learner","27","512550","0.0-10.0-4.0","1532723235422","6-294","8222","","","","false","505","586","561","683","","[716.05,541.28],[674.14,646.43]","true","null"
"","check_point_button","28","514974","0.0-11.0","1532723235422","6-294","2423","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","","",""
"","learner","29","520926","0.0-12.0-0.0","1532723235422","6-294","5950","","","","false","473","619","537","722","","[464.75,761.02],[533.98,483.32]","true","null"
"","learner","30","526959","0.0-12.0-1.0","1532723235422","6-294","6030","","","","false","139","394","522","783","[253.12,610.76],[332.42,677.48]","","true","null"
"","learner","31","532351","0.0-12.0-2.0","1532723235422","6-294","5392","","","","false","255","465","203","405","[372.24,283.64]","[216.79,696.86]","true","null"
"","learner","32","560218","0.0-12.0-3.0","1532723235422","6-294","27866","","","","false","557","738","420","572","","[546.4,648.95],[677.39,303.75]","true","null"
"","learner","33","566122","0.0-12.0-4.0","1532723235422","6-294","5902","","","","false","603","724","607","752","","[575.97,733.35],[739.64,488.1]","true","null"
"","check_point_button","34","568611","0.0-13.0","1532723235422","6-294","2487","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","","",""
"","learner","35","576779","0.0-14.0-0.0","1532723235422","6-294","8166","","","","false","259","359","522","626","[280.43,552.19]","[474.5,388.94]","true","null"
"","learner","36","582794","0.0-14.0-1.0","1532723235422","6-294","6014","","","","false","402","719","501","813","[609.16,640.39],[544.25,560.15]","","true","null"
"","learner","37","589299","0.0-14.0-2.0","1532723235422","6-294","6503","","","","false","412","558","445","539","","[496.55,586.54],[571.93,506.68]","true","null"
"","learner","38","595723","0.0-14.0-3.0","1532723235422","6-294","6422","","","","false","310","571","543","701","","[315.03,383.12],[592.17,693.93]","true","null"
"","learner","39","600899","0.0-14.0-4.0","1532723235422","6-294","5173","","","","false","439","674","497","722","[602.13,550.12],[549.15,637.18]","","true","null"
"","check_point_button","40","606371","0.0-15.0","1532723235422","6-294","5471","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","","",""
"","html-button-response","41","614229","0.0-16.0","1532723235422","6-294","7857","","<p align='center' style='font-size:25px;' > ¡ACORDATE DE QUE ALGUIEN TE DEJÓ ESTAS PISTAS PARA QUE ENCUENTRES LA CAJA! </p>","0","","","","","","","","",""
"","learner","42","713457","0.0-17.0-0.0","1532723235422","6-294","99225","","","","false","442","778","475","753","[705.79,669.12],[601.94,539.49]","","true","null"
"","learner","43","719649","0.0-17.0-1.0","1532723235422","6-294","6191","","","","false","531","632","375","573","","[687.73,558.1],[751.07,424.62]","true","null"
"","learner","44","729337","0.0-17.0-2.0","1532723235422","6-294","9686","","","","false","517","620","365","496","","[709.73,309.84],[608.95,530.61]","true","null"
"","learner","45","733577","0.0-17.0-3.0","1532723235422","6-294","4239","","","","false","457","638","385","526","[534.35,404.97]","[289.25,302.66]","true","null"
"","learner","46","737825","0.0-17.0-4.0","1532723235422","6-294","4247","","","","false","267","440","374","532","[365.37,438.1]","[261.91,254.74]","true","null"
"","check_point_button","47","744980","0.0-18.0","1532723235422","6-294","7153","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 6</font></p>","0","","","","","","","","",""
"","learner","48","751436","0.0-19.0-0.0","1532723235422","6-294","6454","","","","false","348","653","436","711","","[244.36,402.17],[379.42,300.55]","true","null"
"","learner","49","758877","0.0-19.0-1.0","1532723235422","6-294","7439","","","","false","496","632","200","370","[591.57,263.77]","[510.26,578.54]","true","null"
"","learner","50","780149","0.0-19.0-2.0","1532723235422","6-294","21272","","","","false","609","795","433","630","[639.82,542.19],[723.41,434.56]","","true","null"
"","learner","51","785989","0.0-19.0-3.0","1532723235422","6-294","5837","","","","false","575","692","543","674","[624.34,551.32]","[469.7,731.09]","true","null"
"","learner","52","791286","0.0-19.0-4.0","1532723235422","6-294","5294","","","","false","429","676","662","756","","[396.4,652.9],[527.8,610.69]","true","null"
"","check_point_button","53","793293","0.0-20.0","1532723235422","6-294","2007","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 7</font></p>","0","","","","","","","","",""
"","learner","54","803592","0.0-21.0-0.0","1532723235422","6-294","10296","","","","false","353","708","542","684","[485.57,552.22],[612.56,637.85]","","true","null"
"","learner","55","809337","0.0-21.0-1.0","1532723235422","6-294","5742","","","","false","629","772","553","671","[685.9,651.73]","[529.42,547.49]","true","null"
"","learner","56","815969","0.0-21.0-2.0","1532723235422","6-294","6631","","","","false","526","838","482","630","","[378.9,595.88],[643.87,435.33]","true","null"
"","learner","57","824737","0.0-21.0-3.0","1532723235422","6-294","8766","","","","false","524","725","338","551","","[415.41,352.37],[495.56,543.26]","true","null"
"","learner","58","843881","0.0-21.0-4.0","1532723235422","6-294","19142","","","","false","397","527","466","613","[433.83,469.59]","[240.65,630.86]","true","null"
"","check_point_button","59","846265","0.0-22.0","1532723235422","6-294","2383","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 8</font></p>","0","","","","","","","","",""
"","learner","60","863313","0.0-23.0-0.0","1532723235422","6-294","17047","","","","false","448","559","470","699","[541.31,551.16],[482.26,630.82]","","true","null"
"","learner","61","905644","0.0-23.0-1.0","1532723235422","6-294","42329","","","","false","414","626","226","460","[527.97,286.33],[544.93,389.87]","","true","null"
"","learner","62","911372","0.0-23.0-2.0","1532723235422","6-294","5725","","","","false","293","555","460","605","[323.24,463.54],[480.76,518.89]","","true","null"
"","learner","63","916148","0.0-23.0-3.0","1532723235422","6-294","4775","","","","false","289","423","648","723","[365.65,705.44]","[493.18,580.65]","true","null"
"","learner","64","921220","0.0-23.0-4.0","1532723235422","6-294","5070","","","","false","293","441","490","576","[360.12,559.67]","[330.67,391.26]","true","null"
"","check_point_button","65","923501","0.0-24.0","1532723235422","6-294","2279","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 9</font></p>","0","","","","","","","","",""
"","learner","66","929621","0.0-25.0-0.0","1532723235422","6-294","6118","","","","false","494","575","562","731","[547.85,567.56]","[701.04,611.4]","true","null"
"","learner","67","934047","0.0-25.0-1.0","1532723235422","6-294","4424","","","","false","145","268","281","373","[211.84,300.72]","[275.51,201.71]","true","null"
"","learner","68","939703","0.0-25.0-2.0","1532723235422","6-294","5654","","","","false","360","484","707","826","[394.56,712.92]","[424.88,447.04]","true","null"
"","learner","69","945327","0.0-25.0-3.0","1532723235422","6-294","5622","","","","false","527","678","384","526","","[569.92,280.67],[725.97,470.38]","true","null"
"","learner","70","951207","0.0-25.0-4.0","1532723235422","6-294","5879","","","","false","402","551","560","666","[481.2,571.72]","[450.59,337.65]","true","null"
"","check_point_button","71","955535","0.0-26.0","1532723235422","6-294","4327","","<p align='center' style='font-size:30px;' > COMPLETASTE TODOS LOS NIVELES  <br><br> ¡FELICITACIONES!<br><br> PRESIONA CUALQUIER TECLA PARA TERMINAR</p>","0","","","","","","","","",""
