"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","4841","0.0-0.0","1532721125444","10-420","","","","","","","","","","","","",""
"","survey-text","1","9697","0.0-1.0","1532721125444","10-420","4852","{""Q0"":""10-420""}","","","","","","","","","","",""
"","my_image_button","2","27384","0.0-2.0-0.0","1532721125444","10-420","17686","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","47576","0.0-2.0-1.0","1532721125444","10-420","20191","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","54824","0.0-2.0-2.0","1532721125444","10-420","7247","","","0","","","","","","","","",""
"","learner","5","73179","0.0-3.0-0.0","1532721125444","10-420","18349","","","","true","653","654","605","605","[545.04,735.35],[650.91,603.95]","","false","null"
"","learner","6","85547","0.0-3.0-1.0","1532721125444","10-420","12366","","","","true","506","526","384","386","[397.39,384.03]","[390.16,214.82]","false","null"
"","learner","7","100163","0.0-3.0-2.0","1532721125444","10-420","14614","","","","true","291","380","572","690","","[364.4,688.46],[381.38,567.36]","false","null"
"","learner","8","123975","0.0-3.0-3.0","1532721125444","10-420","23809","","","","true","688","713","419","490","[715.22,626.49]","[606.69,420.03]","false","null"
"","check_point_button","9","169728","0.0-4.0","1532721125444","10-420","45752","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","180304","0.0-5.0","1532721125444","10-420","10575","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","203883","0.0-6.0-0.0","1532721125444","10-420","23576","","","","false","469","769","452","561","","[483.46,546.99],[736.78,462.77]","false","null"
"","learner","12","217395","0.0-6.0-1.0","1532721125444","10-420","13510","","","","false","506","573","339","623","","[497.93,353.38],[581.47,611.49]","true","null"
"","learner","13","225715","0.0-6.0-2.0","1532721125444","10-420","8317","","","","false","471","517","624","716","","[472.62,725.04],[528.1,629.86]","true","null"
"","learner","14","234115","0.0-6.0-3.0","1532721125444","10-420","8399","","","","false","531","730","564","708","[717.43,575.11]","[527.62,723.93]","true","null"
"","learner","15","251701","0.0-6.0-4.0","1532721125444","10-420","17583","","","","false","583","734","514","577","[606.23,574.81]","[741.53,512.28]","true","null"
