"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","3532","0.0-0.0","1532725474546","12-431","","","","","","","","","","","","",""
"","survey-text","1","11627","0.0-1.0","1532725474546","12-431","8092","{""Q0"":""12-431""}","","","","","","","","","","",""
"","my_image_button","2","30540","0.0-2.0-0.0","1532725474546","12-431","18910","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","66694","0.0-2.0-1.0","1532725474546","12-431","36153","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","75206","0.0-2.0-2.0","1532725474546","12-431","8512","","","0","","","","","","","","",""
"","learner","5","111046","0.0-3.0-0.0","1532725474546","12-431","35834","","","","true","492","676","366","512","[505.69,375.08],[656.62,491.09]","","true","null"
"","learner","6","129352","0.0-3.0-1.0","1532725474546","12-431","18305","","","","true","729","778","391","453","[755.72,423.19]","[762.98,293.39]","true","null"
"","learner","7","143224","0.0-3.0-2.0","1532725474546","12-431","13869","","","","true","565","752","475","618","","[622.38,628.98],[678.27,437.32]","true","null"
"","learner","8","160505","0.0-3.0-3.0","1532725474546","12-431","17278","","","","true","529","612","321","425","[564.81,378.86]","[583.98,256.69]","true","null"
"","check_point_button","9","214263","0.0-4.0","1532725474546","12-431","53755","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","219678","0.0-5.0","1532725474546","12-431","5414","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","230142","0.0-6.0-0.0","1532725474546","12-431","10462","","","","false","335","424","396","525","[354.46,406.16],[406.58,506.16]","","true","null"
"","learner","12","241406","0.0-6.0-1.0","1532725474546","12-431","11262","","","","false","219","361","368","470","[278.05,417.61]","[460.8,352.25]","true","null"
"","learner","13","247894","0.0-6.0-2.0","1532725474546","12-431","6486","","","","false","373","489","544","631","[473.79,614.59],[391.27,555.36]","","true","null"
"","learner","14","256630","0.0-6.0-3.0","1532725474546","12-431","8735","","","","false","528","577","409","629","[546.06,423.41],[558.6,614.15]","","true","null"
"","learner","15","272159","0.0-6.0-4.0","1532725474546","12-431","15525","","","","false","408","523","534","674","[511.63,660.53],[419.95,547.16]","","true","null"
"","check_point_button","16","281465","0.0-7.0","1532725474546","12-431","9306","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","290434","0.0-8.0-0.0","1532725474546","12-431","8966","","","","false","560","622","382","522","[612.55,511.94],[567.17,391.2]","","true","null"
"","learner","18","299530","0.0-8.0-1.0","1532725474546","12-431","9094","","","","false","521","754","421","591","[744.17,575.16],[535.16,435.42]","","true","null"
