"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","1990","0.0-0.0","1532717793797","14-417","","","","","","","","","","","",""
"","survey-text","1","8370","0.0-1.0","1532717793797","14-417","6377","{""Q0"":""14-417""}","","","","","","","","","",""
"","my_image_button","2","22025","0.0-2.0-0.0","1532717793797","14-417","13653","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","37977","0.0-2.0-1.0","1532717793797","14-417","15951","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","43241","0.0-2.0-2.0","1532717793797","14-417","5263","","","0","","","","","","","",""
"","teacher","5","61909","0.0-3.0-0.0","1532717793797","14-417","8846","","","","true","631.93","729.13","153.84","533.41","[680,340],[684,394]","","null"
"","teacher","6","79549","0.0-3.0-1.0","1532717793797","14-417","6981","","","","true","654.75","751.95","181.51","278.71","","[618,235],[781,230]","null"
"","teacher","7","92829","0.0-3.0-2.0","1532717793797","14-417","4477","","","","true","727.81","849.23","447.23","544.43","[789,493]","[784,419]","null"
"","teacher","8","108764","0.0-3.0-3.0","1532717793797","14-417","6782","","","","true","343.32","468.54","683.62","780.82","[355,771]","[487,663]","null"
"","check_point_button","9","139128","0.0-4.0","1532717793797","14-417","30362","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","151112","0.0-5.0","1532717793797","14-417","11983","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","161464","0.0-6.0-0.0","1532717793797","14-417","7798","","","","false","657.3","754.5","99.22","196.42","[703,143],[704,169]","","null"
"","teacher","12","168648","0.0-6.0-1.0","1532717793797","14-417","4894","","","","false","730.5","869.94","410.28","720.93","[798,535]","[610,537]","null"
