"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","3287","0.0-0.0","1532714916584","8-412","","","","","","","","","","","","",""
"","survey-text","1","11628","0.0-1.0","1532714916584","8-412","8338","{""Q0"":""8-412""}","","","","","","","","","","",""
"","my_image_button","2","30931","0.0-2.0-0.0","1532714916584","8-412","19300","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","52315","0.0-2.0-1.0","1532714916584","8-412","21382","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","62308","0.0-2.0-2.0","1532714916584","8-412","9993","","","0","","","","","","","","",""
"","learner","5","89798","0.0-3.0-0.0","1532714916584","8-412","27483","","","","true","354","577","284","430","[430.28,391.4],[493.33,301.22]","","true","null"
"","learner","6","113621","0.0-3.0-1.0","1532714916584","8-412","23821","","","","true","533","662","395","500","[568.04,427.19]","[476.76,517]","true","null"
"","learner","7","141001","0.0-3.0-2.0","1532714916584","8-412","27377","","","","true","433","625","472","594","","[427.96,752.34],[399.73,622.23]","true","null"
"","learner","8","147673","0.0-3.0-3.0","1532714916584","8-412","6670","","","","true","661","817","488","607","[712.76,531.95]","[619.75,661.55]","true","null"
"","check_point_button","9","181585","0.0-4.0","1532714916584","8-412","33911","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","190882","0.0-5.0","1532714916584","8-412","9296","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","210941","0.0-6.0-0.0","1532714916584","8-412","20055","","","","false","516","719","460","597","[611.81,492.84]","[287.09,618.45]","true","null"
"","learner","12","220573","0.0-6.0-1.0","1532714916584","8-412","9630","","","","false","357","596","615","762","[448.22,630.59],[506.99,723.53]","","true","null"
