"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2525","0.0-0.0","1532120100910","6-251","","","","","","","","","","","","",""
"","survey-text","1","9845","0.0-1.0","1532120100910","6-251","7318","{""Q0"":""6-251""}","","","","","","","","","","",""
"","my_image_button","2","25293","0.0-2.0-0.0","1532120100910","6-251","15447","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","44813","0.0-2.0-1.0","1532120100910","6-251","19519","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","50476","0.0-2.0-2.0","1532120100910","6-251","5663","","","0","","","","","","","","",""
"","learner","5","88272","0.0-3.0-0.0","1532120100910","6-251","37791","","","","true","94","538","958","1110","[568.41,712.13],[690.7,579.84]","","false","null"
"","learner","6","124594","0.0-3.0-1.0","1532120100910","6-251","36320","","","","true","729","793","392","447","[632.95,249.65]","[773.34,424.22]","false","null"
"","learner","7","145563","0.0-3.0-2.0","1532120100910","6-251","20966","","","","true","426","608","411","577","","[439.12,430.91],[674.11,589.56]","false","null"
"","learner","8","151458","0.0-3.0-3.0","1532120100910","6-251","5892","","","","true","542","683","516","696","[683.46,704.44]","[549.97,521.94]","false","null"
"","check_point_button","9","186549","0.0-4.0","1532120100910","6-251","35089","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","203118","0.0-5.0","1532120100910","6-251","16567","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","224325","0.0-6.0-0.0","1532120100910","6-251","21206","","","","false","689","896","274","390","","[302.89,579.4],[407.18,353.01]","true","null"
"","learner","12","234861","0.0-6.0-1.0","1532120100910","6-251","10534","","","","false","426","592","631","724","[575.66,637.21]","[361.06,569.71]","true","null"
"","learner","13","246357","0.0-6.0-2.0","1532120100910","6-251","11494","","","","false","374","481","629","654","","[206.45,672.46],[497.58,567.6]","true","null"
"","learner","14","251537","0.0-6.0-3.0","1532120100910","6-251","5177","","","","false","439","616","544","661","[579.89,552.45]","[704.31,692.72]","true","null"
"","learner","15","255600","0.0-6.0-4.0","1532120100910","6-251","4062","","","","false","588","771","641","692","","[558.51,690.84],[651.3,593.87]","true","null"
"","check_point_button","16","261505","0.0-7.0","1532120100910","6-251","5904","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","266545","0.0-8.0-0.0","1532120100910","6-251","5040","","","","false","576","764","646","662","[758.52,649.78]","[529.35,506.94]","true","null"
"","learner","18","272049","0.0-8.0-1.0","1532120100910","6-251","5502","","","","false","327","530","481","526","","[467.46,420.99],[433.89,531.82]","true","null"
"","learner","19","275601","0.0-8.0-2.0","1532120100910","6-251","3550","","","","false","605","663","652","785","","[714.78,627.77],[484.83,727.71]","true","null"
"","learner","20","279112","0.0-8.0-3.0","1532120100910","6-251","3511","","","","false","432","525","552","692","[490.84,577.81]","[510.3,479.2]","true","null"
"","learner","21","283417","0.0-8.0-4.0","1532120100910","6-251","4303","","","","false","681","828","578","679","","[751.95,501.4],[553.18,714.28]","true","null"
"","check_point_button","22","285240","0.0-9.0","1532120100910","6-251","1823","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","290736","0.0-10.0-0.0","1532120100910","6-251","5495","","","","false","360","395","535","663","","[463.04,536.38],[319.75,596.06]","true","null"
"","learner","24","295065","0.0-10.0-1.0","1532120100910","6-251","4327","","","","false","634","732","280","583","[658.84,521.36],[710.91,318.8]","","true","null"
"","learner","25","298713","0.0-10.0-2.0","1532120100910","6-251","3647","","","","false","518","750","286","403","[553.18,296.31]","[460.17,426.09]","true","null"
"","learner","26","303969","0.0-10.0-3.0","1532120100910","6-251","5254","","","","false","329","418","614","688","[387.47,636.6]","[387.2,457.64]","true","null"
"","learner","27","307649","0.0-10.0-4.0","1532120100910","6-251","3679","","","","false","127","451","381","515","[353.16,401.29]","[493.82,600.24]","true","null"
"","check_point_button","28","312827","0.0-11.0","1532120100910","6-251","5176","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","","",""
"","learner","29","316699","0.0-12.0-0.0","1532120100910","6-251","3871","","","","false","540","641","400","581","","[655.23,284.44],[518.02,640.07]","true","null"
"","learner","30","320475","0.0-12.0-1.0","1532120100910","6-251","3774","","","","false","460","579","578","740","[550.11,591.81]","[490.97,500.32]","true","null"
"","learner","31","324731","0.0-12.0-2.0","1532120100910","6-251","4254","","","","false","470","632","262","477","[493.16,279.58],[522.79,402]","","true","null"
"","learner","32","328571","0.0-12.0-3.0","1532120100910","6-251","3839","","","","false","573","688","321","558","","[624.18,294.29],[464.58,469.11]","true","null"
"","learner","33","331627","0.0-12.0-4.0","1532120100910","6-251","3054","","","","false","374","545","544","654","[394.63,559.19]","[348.17,443.16]","true","null"
"","check_point_button","34","333891","0.0-13.0","1532120100910","6-251","2263","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","","",""
"","learner","35","341843","0.0-14.0-0.0","1532120100910","6-251","7949","","","","false","426","546","973","1132","","[510.03,539.24],[642.03,751.53]","true","null"
"","learner","36","347603","0.0-14.0-1.0","1532120100910","6-251","5759","","","","false","353","374","562","732","[362.49,618.98]","[234.25,692.35]","true","null"
"","learner","37","351299","0.0-14.0-2.0","1532120100910","6-251","3695","","","","false","504","677","576","766","[647.01,593.79]","[614.82,452.57]","true","null"
"","learner","38","359235","0.0-14.0-3.0","1532120100910","6-251","7935","","","","false","456","607","419","580","[497.7,475.82]","[411.87,281.76]","true","null"
"","learner","39","364036","0.0-14.0-4.0","1532120100910","6-251","4798","","","","false","364","584","520","653","","[637.25,425.71],[461.11,721.3]","true","null"
"","check_point_button","40","366164","0.0-15.0","1532120100910","6-251","2127","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","","",""
"","html-button-response","41","369382","0.0-16.0","1532120100910","6-251","3218","","<p align='center' style='font-size:25px;' > ¡ACORDATE DE QUE ALGUIEN TE DEJÓ ESTAS PISTAS PARA QUE ENCUENTRES LA CAJA! </p>","0","","","","","","","","",""
"","learner","42","377423","0.0-17.0-0.0","1532120100910","6-251","8039","","","","false","521","582","409","481","[556.7,432.4]","[756.19,516.06]","true","null"
"","learner","43","381270","0.0-17.0-1.0","1532120100910","6-251","3844","","","","false","262","324","215","487","[310.95,255.81],[289.28,371.45]","","true","null"
"","learner","44","388942","0.0-17.0-2.0","1532120100910","6-251","7671","","","","false","448","546","489","599","[502.9,537.79]","[538.09,718.34]","true","null"
"","learner","45","393919","0.0-17.0-3.0","1532120100910","6-251","4975","","","","false","308","587","636","767","[554.8,661.16],[408.53,701.8]","","true","null"
"","learner","46","397862","0.0-17.0-4.0","1532120100910","6-251","3942","","","","false","163","373","222","590","[292.28,424.9],[349.28,337.41]","","true","null"
"","check_point_button","47","399566","0.0-18.0","1532120100910","6-251","1704","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 6</font></p>","0","","","","","","","","",""
"","learner","48","404030","0.0-19.0-0.0","1532120100910","6-251","4463","","","","false","434","791","325","531","","[566.8,598.53],[380.19,457.41]","true","null"
"","learner","49","407246","0.0-19.0-1.0","1532120100910","6-251","3215","","","","false","338","604","378","503","[540.49,408.41]","[699.09,483.7]","true","null"
"","learner","50","411174","0.0-19.0-2.0","1532120100910","6-251","3927","","","","false","587","673","614","781","[651.66,741.27],[640.59,622.61]","","true","null"
"","learner","51","414334","0.0-19.0-3.0","1532120100910","6-251","3158","","","","false","138","277","496","651","[247.96,524.25]","[438.74,700.16]","true","null"
"","learner","52","437249","0.0-19.0-4.0","1532120100910","6-251","22912","","","","false","530","660","514","552","[611.92,532.26]","[598.04,671.92]","true","null"
"","check_point_button","53","439762","0.0-20.0","1532120100910","6-251","2512","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 7</font></p>","0","","","","","","","","",""
"","learner","54","447106","0.0-21.0-0.0","1532120100910","6-251","7343","","","","false","508","595","381","416","","[497.24,372.84],[568.29,441.21]","true","null"
"","learner","55","456273","0.0-21.0-1.0","1532120100910","6-251","9166","","","","false","346","926","453","540","[430.99,522.87],[602.18,471.02]","","true","null"
"","learner","56","460193","0.0-21.0-2.0","1532120100910","6-251","3918","","","","false","63","638","547","556","","[408.74,770.14],[405.45,322.54]","true","null"
"","learner","57","463218","0.0-21.0-3.0","1532120100910","6-251","3023","","","","false","327","635","435","749","[560.83,529.91],[478.31,607.11]","","true","null"
"","learner","58","467105","0.0-21.0-4.0","1532120100910","6-251","3886","","","","false","427","504","461","571","","[330.57,588.71],[590.46,269]","true","null"
