"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2068","0.0-0.0","1532720531591","8-282","","","","","","","","","","","",""
"","survey-text","1","9419","0.0-1.0","1532720531591","8-282","7346","{""Q0"":""8-282""}","","","","","","","","","",""
"","my_image_button","2","10538","0.0-2.0-0.0","1532720531591","8-282","1117","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","12706","0.0-2.0-1.0","1532720531591","8-282","2167","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","14266","0.0-2.0-2.0","1532720531591","8-282","1558","","","0","","","","","","","",""
"","teacher","5","35635","0.0-3.0-0.0","1532720531591","8-282","11589","","","","true","160.99","753.29","177.81","818.11","[280,250]","[269,138]","null"
"","teacher","6","49595","0.0-3.0-1.0","1532720531591","8-282","7254","","","","true","759.38","856.58","120.27","648.28","","[438,627],[480,306]","null"
"","teacher","7","61157","0.0-3.0-2.0","1532720531591","8-282","4006","","","","true","298.86","649.16","519.28","651.32","[525,589]","[556,222]","null"
"","teacher","8","77917","0.0-3.0-3.0","1532720531591","8-282","7631","","","","true","165.22","863.89","713.47","810.67","[682,740]","[469,204]","null"
"","check_point_button","9","83198","0.0-4.0","1532720531591","8-282","5279","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","85453","0.0-5.0","1532720531591","8-282","2255","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","91925","0.0-6.0-0.0","1532720531591","8-282","4934","","","","false","773.57","870.77","195.08","551.09","[831,279],[820,530]","","null"
"","teacher","12","95701","0.0-6.0-1.0","1532720531591","8-282","2014","","","","false","447.48","745.13","585.48","731.1","[679,607]","[604,351]","null"
"","teacher","13","101901","0.0-6.0-2.0","1532720531591","8-282","2671","","","","false","520.41","728.75","764.76","861.96","[582,825],[709,786]","","null"
"","teacher","14","140952","0.0-6.0-3.0","1532720531591","8-282","9174","","","","false","100.86","609.06","677.1","833.64","[324,724]","[423,481]","null"
"","teacher","15","147464","0.0-6.0-4.0","1532720531591","8-282","5183","","","","false","688.61","785.81","753.15","850.35","[759,814],[717,820]","","null"
"","check_point_button","16","151008","0.0-7.0","1532720531591","8-282","3542","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","154824","0.0-8.0-0.0","1532720531591","8-282","1821","","","","false","343.8","671.81","526.2","730.55","[434,646],[607,635]","","null"
"","teacher","18","161753","0.0-8.0-1.0","1532720531591","8-282","5831","","","","false","206.91","304.11","102.72","798.21","[275,127]","[243,871]","null"
