"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","12110","0.0-0.0","1532720549214","10-286","","","","","","","","","","","",""
"","survey-text","1","17820","0.0-1.0","1532720549214","10-286","5706","{""Q0"":""10-286""}","","","","","","","","","",""
"","my_image_button","2","32589","0.0-2.0-0.0","1532720549214","10-286","14767","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","51613","0.0-2.0-1.0","1532720549214","10-286","19022","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","58212","0.0-2.0-2.0","1532720549214","10-286","6599","","","0","","","","","","","",""
"","teacher","5","77943","0.0-3.0-0.0","1532720549214","10-286","10088","","","","true","109.19","823.17","409.51","542.13","[819,415]","[859,432]","null"
"","teacher","6","84399","0.0-3.0-1.0","1532720549214","10-286","4599","","","","true","493.34","836.67","456.01","562.84","[497,464]","[450,438]","null"
"","teacher","7","95311","0.0-3.0-2.0","1532720549214","10-286","6573","","","","true","498.84","763.88","343.16","847.72","[504,842]","[410,304]","null"
"","teacher","8","102591","0.0-3.0-3.0","1532720549214","10-286","5198","","","","true","500.62","597.82","611.76","768.41","[520,656]","[453,644]","null"
"","check_point_button","9","135435","0.0-4.0","1532720549214","10-286","32842","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","152731","0.0-5.0","1532720549214","10-286","17295","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","159835","0.0-6.0-0.0","1532720549214","10-286","5999","","","","false","103.52","353.57","461.2","740.93","[225,527]","[368,488]","null"
"","teacher","12","164811","0.0-6.0-1.0","1532720549214","10-286","3846","","","","false","638.43","735.63","431.62","528.82","[647,526]","[618,474]","null"
"","teacher","13","169027","0.0-6.0-2.0","1532720549214","10-286","2751","","","","false","434.41","686.62","253.98","651.96","[441,650]","[402,692]","null"
"","teacher","14","172748","0.0-6.0-3.0","1532720549214","10-286","2318","","","","false","740.41","837.61","639.51","802.42","[753,663]","[654,646]","null"
"","teacher","15","176107","0.0-6.0-4.0","1532720549214","10-286","2270","","","","false","656.44","753.64","668.46","831.08","[664,685]","[625,660]","null"
"","check_point_button","16","187060","0.0-7.0","1532720549214","10-286","10951","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","190716","0.0-8.0-0.0","1532720549214","10-286","2182","","","","false","574.57","811.89","342.99","619.06","[584,360]","[552,360]","null"
"","teacher","18","193635","0.0-8.0-1.0","1532720549214","10-286","1910","","","","false","503.08","652.41","757.57","854.77","[642,849]","[618,745]","null"
"","teacher","19","196158","0.0-8.0-2.0","1532720549214","10-286","1543","","","","false","571.27","668.47","696.71","793.91","[584,792]","[564,776]","null"
"","teacher","20","198679","0.0-8.0-3.0","1532720549214","10-286","1701","","","","false","602.12","791.48","276.49","743.29","[618,742]","[811,263]","null"
"","teacher","21","202998","0.0-8.0-4.0","1532720549214","10-286","2526","","","","false","312.27","409.47","625.11","722.31","[405,642]","[301,735]","null"
"","check_point_button","22","205142","0.0-9.0","1532720549214","10-286","2142","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","208590","0.0-10.0-0.0","1532720549214","10-286","2542","","","","false","734.75","863.18","775.22","872.42","[737,785]","[885,898]","null"
"","teacher","24","211422","0.0-10.0-1.0","1532720549214","10-286","1993","","","","false","670.27","804.88","757.76","854.96","[802,769]","[658,880]","null"
"","teacher","25","215951","0.0-10.0-2.0","1532720549214","10-286","3214","","","","false","735.59","832.79","353.92","848.77","[748,839]","[844,340]","null"
"","teacher","26","221302","0.0-10.0-3.0","1532720549214","10-286","2589","","","","false","648.86","848.64","499.6","704.76","","[626,730],[860,496]","null"
"","teacher","27","225932","0.0-10.0-4.0","1532720549214","10-286","3150","","","","false","117.09","562.65","158.1","562.92","[552,555],[472,228]","","null"
"","check_point_button","28","228535","0.0-11.0","1532720549214","10-286","2602","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","232791","0.0-12.0-0.0","1532720549214","10-286","3030","","","","false","573.74","810.92","439.68","536.88","[629,508],[778,476]","","null"
