"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","16430","0.0-0.0","1532726165447","13-304","","","","","","","","","","","",""
"","survey-text","1","20372","0.0-1.0","1532726165447","13-304","3940","{""Q0"":""13-304""}","","","","","","","","","",""
"","my_image_button","2","30637","0.0-2.0-0.0","1532726165447","13-304","10262","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","47860","0.0-2.0-1.0","1532726165447","13-304","17222","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","55276","0.0-2.0-2.0","1532726165447","13-304","7415","","","0","","","","","","","",""
"","teacher","5","75431","0.0-3.0-0.0","1532726165447","13-304","10584","","","","true","483.07","678.18","490.49","652.45","[512,514],[666,640]","","null"
"","teacher","6","97046","0.0-3.0-1.0","1532726165447","13-304","12757","","","","true","515.14","734.52","570.95","769.82","","[511,566],[741,567]","null"
"","teacher","7","114062","0.0-3.0-2.0","1532726165447","13-304","10678","","","","true","281.52","399.29","634.45","731.65","[285,638]","[281,633]","null"
"","teacher","8","127864","0.0-3.0-3.0","1532726165447","13-304","8273","","","","true","520.8","789.96","318.75","849.04","[537,334],[777,834]","","null"
"","check_point_button","9","141441","0.0-4.0","1532726165447","13-304","13575","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","148577","0.0-5.0","1532726165447","13-304","7136","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","168025","0.0-6.0-0.0","1532726165447","13-304","17478","","","","false","267.74","839.2","493.23","594.7","[282,508]","[266,492]","null"
"","teacher","12","180026","0.0-6.0-1.0","1532726165447","13-304","10358","","","","false","441.81","562.18","425.23","580.93","[446,429]","[566,584]","null"
"","teacher","13","195628","0.0-6.0-2.0","1532726165447","13-304","13770","","","","false","144.03","435.11","105.83","287.54","","[145,288],[436,107]","null"
"","teacher","14","210549","0.0-6.0-3.0","1532726165447","13-304","13495","","","","false","634.22","731.42","635.88","798.38","","[636,799],[732,637]","null"
"","teacher","15","220708","0.0-6.0-4.0","1532726165447","13-304","7143","","","","false","456.28","622.54","242.47","814.48","","[458,815],[623,243]","null"
"","check_point_button","16","230764","0.0-7.0","1532726165447","13-304","10055","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","242316","0.0-8.0-0.0","1532726165447","13-304","8495","","","","false","736.43","833.63","110.74","527.42","","[737,528],[835,112]","null"
"","teacher","18","255079","0.0-8.0-1.0","1532726165447","13-304","10137","","","","false","284.61","677.52","745.54","842.74","[288,749],[676,842]","","null"
"","teacher","19","262895","0.0-8.0-2.0","1532726165447","13-304","5982","","","","false","602.7","699.9","375.29","789.46","","[704,594],[601,587]","null"
"","teacher","20","282279","0.0-8.0-3.0","1532726165447","13-304","17719","","","","false","633.88","731.08","185.51","541.07","","[730,545],[733,185]","null"
"","teacher","21","293982","0.0-8.0-4.0","1532726165447","13-304","10279","","","","false","370.69","518.16","179.62","603.92","[375,601]","[519,181]","null"
"","check_point_button","22","295391","0.0-9.0","1532726165447","13-304","1409","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","307535","0.0-10.0-0.0","1532726165447","13-304","10647","","","","false","233.14","623.53","415.29","512.49","[238,420],[622,511]","","null"
"","teacher","24","314658","0.0-10.0-1.0","1532726165447","13-304","6088","","","","false","514.21","611.41","460.54","719.69","[516,462]","[613,721]","null"
"","teacher","25","325490","0.0-10.0-2.0","1532726165447","13-304","9302","","","","false","607.04","862.65","232.08","329.28","[618,240],[858,324]","","null"
"","teacher","26","330841","0.0-10.0-3.0","1532726165447","13-304","4053","","","","false","728.35","855.98","154.6","808.39","[730,156]","[858,810]","null"
"","teacher","27","338074","0.0-10.0-4.0","1532726165447","13-304","5903","","","","false","497.97","807.02","135.33","430.25","","[500,135],[808,432]","null"
"","check_point_button","28","339202","0.0-11.0","1532726165447","13-304","1127","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","346227","0.0-12.0-0.0","1532726165447","13-304","5870","","","","false","231.93","329.13","591.23","688.43","[235,595]","[330,689]","null"
"","teacher","30","356785","0.0-12.0-1.0","1532726165447","13-304","9133","","","","false","214.86","323.06","154.49","688.77","","[325,156],[216,689]","null"
"","teacher","31","364817","0.0-12.0-2.0","1532726165447","13-304","6782","","","","false","630.56","727.76","167.32","871.68","[632,168]","[729,873]","null"
"","teacher","32","372362","0.0-12.0-3.0","1532726165447","13-304","6494","","","","false","357.72","707.55","453.72","623.88","","[359,626],[708,454]","null"
"","teacher","33","379588","0.0-12.0-4.0","1532726165447","13-304","5905","","","","false","474.69","767.58","571.45","763.63","[476,572]","[769,765]","null"
"","check_point_button","34","380708","0.0-13.0","1532726165447","13-304","1118","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","",""
"","teacher","35","385437","0.0-14.0-0.0","1532726165447","13-304","3551","","","","false","591.07","715.45","394.77","504.43","[593,397]","[717,506]","null"
"","teacher","36","392780","0.0-14.0-1.0","1532726165447","13-304","6094","","","","false","722.14","819.34","463.18","562.72","[725,467],[818,561]","","null"
"","teacher","37","397964","0.0-14.0-2.0","1532726165447","13-304","3814","","","","false","769.98","867.18","457.51","577.85","[771,458]","[869,579]","null"
"","teacher","38","404885","0.0-14.0-3.0","1532726165447","13-304","5839","","","","false","675.48","772.68","522.58","776.38","[677,523]","[774,777]","null"
"","teacher","39","414645","0.0-14.0-4.0","1532726165447","13-304","7943","","","","false","135.34","583.81","265.62","583.9","","[585,266],[585,585]","null"
"","check_point_button","40","415868","0.0-15.0","1532726165447","13-304","1222","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","",""
