"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2405","0.0-0.0","1532719561374","44-44","","","","","","","","","","","",""
"","survey-text","1","6713","0.0-1.0","1532719561374","44-44","4307","{""Q0"":""44-44""}","","","","","","","","","",""
"","my_image_button","2","35634","0.0-2.0-0.0","1532719561374","44-44","28918","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","70716","0.0-2.0-1.0","1532719561374","44-44","35082","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","76197","0.0-2.0-2.0","1532719561374","44-44","5479","","","0","","","","","","","",""
"","teacher","5","123302","0.0-3.0-0.0","1532719561374","44-44","37631","","","","true","701.5","798.7","221.37","318.57","","[705,320],[799,223]","null"
"","teacher","6","157576","0.0-3.0-1.0","1532719561374","44-44","7857","","","","true","471.43","612.69","409.24","506.44","[473,411]","[615,506]","null"
"","teacher","7","172944","0.0-3.0-2.0","1532719561374","44-44","10374","","","","true","648.53","765.01","512.41","609.61","[652,608],[764,516]","","null"
"","teacher","8","181233","0.0-3.0-3.0","1532719561374","44-44","5454","","","","true","201.26","580.83","623.68","811.51","[205,625],[579,810]","","null"
"","check_point_button","9","184257","0.0-4.0","1532719561374","44-44","3022","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","186344","0.0-5.0","1532719561374","44-44","2085","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","217676","0.0-6.0-0.0","1532719561374","44-44","29225","","","","false","585.36","776.72","554.79","781.61","","[589,554],[781,784]","null"
"","teacher","12","223188","0.0-6.0-1.0","1532719561374","44-44","4455","","","","false","145.02","516.59","416.21","694.64","","[522,695],[143,415]","null"
"","teacher","13","228876","0.0-6.0-2.0","1532719561374","44-44","4743","","","","false","600.7","697.9","581.05","697.06","","[598,698],[699,577]","null"
"","teacher","14","234276","0.0-6.0-3.0","1532719561374","44-44","4477","","","","false","724.32","821.52","775.64","872.84","[729,871],[820,778]","","null"
"","teacher","15","239324","0.0-6.0-4.0","1532719561374","44-44","4087","","","","false","507.54","789.49","729.96","831.44","[513,829],[787,734]","","null"
"","check_point_button","16","244709","0.0-7.0","1532719561374","44-44","5383","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","254908","0.0-8.0-0.0","1532719561374","44-44","9285","","","","false","297.34","657.92","396.25","644.74","[302,642],[656,399]","","null"
"","teacher","18","259789","0.0-8.0-1.0","1532719561374","44-44","3895","","","","false","387.84","535.64","387.44","484.64","","[387,488],[539,385]","null"
"","teacher","19","264613","0.0-8.0-2.0","1532719561374","44-44","3782","","","","false","318","415.2","453.26","602.13","","[318,605],[418,453]","null"
"","teacher","20","270397","0.0-8.0-3.0","1532719561374","44-44","4278","","","","false","476.38","644.36","428.73","525.93","","[475,528],[648,426]","null"
"","teacher","21","275855","0.0-8.0-4.0","1532719561374","44-44","4249","","","","false","400.43","611.06","766.14","863.34","[404,862]","[613,764]","null"
"","check_point_button","22","278199","0.0-9.0","1532719561374","44-44","2343","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","284223","0.0-10.0-0.0","1532719561374","44-44","4614","","","","false","482.74","688.41","258.79","830.75","[486,830]","[689,258]","null"
"","teacher","24","289263","0.0-10.0-1.0","1532719561374","44-44","3919","","","","false","121.18","343.93","477.62","837.69","[125,835]","[346,476]","null"
"","teacher","25","294127","0.0-10.0-2.0","1532719561374","44-44","3951","","","","false","256.93","767.01","612.2","754.83","[265,751],[764,616]","","null"
"","teacher","26","298847","0.0-10.0-3.0","1532719561374","44-44","3719","","","","false","251.56","511.92","167.64","339.37","[254,336],[508,172]","","null"
"","teacher","27","304367","0.0-10.0-4.0","1532719561374","44-44","4486","","","","false","494.06","689.55","449.23","737.68","","[491,740],[692,448]","null"
"","check_point_button","28","308344","0.0-11.0","1532719561374","44-44","3976","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","328114","0.0-12.0-0.0","1532719561374","44-44","14597","","","","false","564.43","778.29","293.08","811.9","[569,809],[776,298]","","null"
"","teacher","30","333527","0.0-12.0-1.0","1532719561374","44-44","4348","","","","false","722.88","820.08","269.8","580.37","[728,577],[818,275]","","null"
"","teacher","31","338689","0.0-12.0-2.0","1532719561374","44-44","3793","","","","false","587.04","791.76","150.5","247.7","","[585,252],[793,147]","null"
"","teacher","32","344129","0.0-12.0-3.0","1532719561374","44-44","4158","","","","false","513.1","738.43","357.11","454.31","","[511,460],[742,355]","null"
"","teacher","33","366347","0.0-12.0-4.0","1532719561374","44-44","11752","","","","false","374.03","471.23","430.08","789.6","","[372,791],[474,429]","null"
"","check_point_button","34","368323","0.0-13.0","1532719561374","44-44","1975","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","",""
"","teacher","35","378323","0.0-14.0-0.0","1532719561374","44-44","8702","","","","false","546.18","643.38","232.9","427.92","[552,425]","[645,230]","null"
"","teacher","36","391034","0.0-14.0-1.0","1532719561374","44-44","7926","","","","false","617.86","834.73","112.51","790.08","[622,787]","[837,110]","null"
"","teacher","37","402118","0.0-14.0-2.0","1532719561374","44-44","9929","","","","false","485.18","582.38","385.41","786.28","[581,785]","[485,384]","null"
"","teacher","38","408029","0.0-14.0-3.0","1532719561374","44-44","4886","","","","false","648.06","765.97","635.39","760.09","[764,758]","[647,634]","null"
"","teacher","39","413950","0.0-14.0-4.0","1532719561374","44-44","4814","","","","false","192.4","613.14","303.55","796.69","[613,796]","[191,303]","null"
"","check_point_button","40","418766","0.0-15.0","1532719561374","44-44","4814","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","1","","","","","","","",""
