success,trial_type,trial_index,time_elapsed,internal_node_id,start_time,Id,rt,responses,stimulus,button_pressed,Prueba,X_left,X_right,Y_top,Y_bottom,Circles,Crosses,Consistency,key_press
true,fullscreen,0,2182,0.0-0.0,1528668148398,109-7,,,,,,,,,,,,,
,survey-text,1,17077,0.0-1.0,1528668148398,109-7,14892,"{""Q0"":""109-7""}",,,,,,,,,,,
,my_image_button,2,31389,0.0-2.0-0.0,1528668148398,109-7,14309,,img/caja.png,0,,,,,,,,,
,my_image_button,3,43454,0.0-2.0-1.0,1528668148398,109-7,12062,,img/caja_con_ejemplos.png,0,,,,,,,,,
,my_image_button,4,51461,0.0-2.0-2.0,1528668148398,109-7,8006,,,0,,,,,,,,,
,learner,5,80281,0.0-3.0-0.0,1528668148398,109-7,28813,,,,true,406,688,401,581,"[405.66,579.99],[533.77,650.1]",,false,null
,learner,6,115913,0.0-3.0-1.0,1528668148398,109-7,35629,,,,true,681,918,536,702,"[498.94,585.34]","[677.54,701.59]",false,null
,learner,7,156450,0.0-3.0-2.0,1528668148398,109-7,40535,,,,true,257,528,566,703,,"[565.71,613.79],[252.4,699.3]",true,null
,learner,8,174498,0.0-3.0-3.0,1528668148398,109-7,18045,,,,true,376,677,383,577,"[372.07,575.08]","[546.32,286.87]",false,null
,check_point_button,9,198685,0.0-4.0,1528668148398,109-7,24186,,"<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>",1,,,,,,,,,
,html-button-response,10,206373,0.0-5.0,1528668148398,109-7,7687,,<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>,0,,,,,,,,,
,learner,11,216934,0.0-6.0-0.0,1528668148398,109-7,10558,,,,false,449,727,461,634,"[450.11,629.65]","[572.2,730.95]",true,null
,learner,12,222142,0.0-6.0-1.0,1528668148398,109-7,5205,,,,false,395,644,603,735,,"[397.58,731.6],[536.65,508.37]",false,null
,learner,13,235614,0.0-6.0-2.0,1528668148398,109-7,13471,,,,false,585,880,527,674,,"[574.37,672.66],[442.84,386.8]",true,null
,learner,14,257967,0.0-6.0-3.0,1528668148398,109-7,22350,,,,false,473,804,317,474,,"[471.57,474.32],[595.89,514.57]",true,null
,learner,15,273514,0.0-6.0-4.0,1528668148398,109-7,15545,,,,false,475,750,111,298,"[760.05,413.15],[754.88,296.35]",,false,null
,check_point_button,16,282946,0.0-7.0,1528668148398,109-7,9431,,<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>,0,,,,,,,,,
,learner,17,294481,0.0-8.0-0.0,1528668148398,109-7,11533,,,,false,208,517,295,446,,"[646.61,618.09],[212.36,290.83]",true,null
,learner,18,301602,0.0-8.0-1.0,1528668148398,109-7,7118,,,,false,391,694,379,536,"[697.58,540.32]","[758.66,460.4]",false,null
,learner,19,309122,0.0-8.0-2.0,1528668148398,109-7,7518,,,,false,473,720,279,393,"[714.2,387.1]","[620.14,508.51]",true,null
,learner,20,315330,0.0-8.0-3.0,1528668148398,109-7,6207,,,,false,443,670,377,490,"[364.04,508.17]","[437.63,372.21]",false,null
