"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2715","0.0-0.0","1528573237646","19-11","","","","","","","","","","","","",""
"","survey-text","1","13628","0.0-1.0","1528573237646","19-11","10909","{""Q0"":""19-11""}","","","","","","","","","","",""
"","my_image_button","2","26475","0.0-2.0-0.0","1528573237646","19-11","12844","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","51971","0.0-2.0-1.0","1528573237646","19-11","25495","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","57898","0.0-2.0-2.0","1528573237646","19-11","5926","","","0","","","","","","","","",""
"","learner","5","68702","0.0-3.0-0.0","1528573237646","19-11","10795","","","","true","449","551","601","676","[448.01,599.35],[547.16,675.34]","","false","null"
"","learner","6","75141","0.0-3.0-1.0","1528573237646","19-11","6438","","","","true","442","472","583","690","[440.79,687.56],[470.39,582.34]","","false","null"
"","learner","7","93981","0.0-3.0-2.0","1528573237646","19-11","18839","","","","true","678","735","276","485","","[710.85,517.62],[704.13,251.04]","true","null"
"","learner","8","117094","0.0-3.0-3.0","1528573237646","19-11","23111","","","","true","377","466","720","803","[374.54,719.17]","[319.04,609.6]","false","null"
"","check_point_button","9","140619","0.0-4.0","1528573237646","19-11","23523","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","142305","0.0-5.0","1528573237646","19-11","1686","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","150410","0.0-6.0-0.0","1528573237646","19-11","8102","","","","false","320","517","299","568","","[531.17,584.49],[300.84,267.89]","true","null"
"","learner","12","156817","0.0-6.0-1.0","1528573237646","19-11","6405","","","","false","265","580","267","549","","[231.37,562.37],[595.16,257.78]","true","null"
"","learner","13","162706","0.0-6.0-2.0","1528573237646","19-11","5887","","","","false","512","614","320","462","[512.45,463.47],[613.72,321.34]","","false","null"
"","learner","14","177370","0.0-6.0-3.0","1528573237646","19-11","14662","","","","false","379","480","418","453","[383.04,447.28],[478.84,418.41]","","true","null"
"","learner","15","184377","0.0-6.0-4.0","1528573237646","19-11","7006","","","","false","443","505","324","421","[445.31,318.7],[502.58,420.84]","","false","null"
"","check_point_button","16","188442","0.0-7.0","1528573237646","19-11","4061","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","196730","0.0-8.0-0.0","1528573237646","19-11","8287","","","","false","233","335","361","606","","[230.79,626.35],[334.46,344.13]","true","null"
"","learner","18","202317","0.0-8.0-1.0","1528573237646","19-11","5585","","","","false","432","592","589","738","[591.51,581.73]","[420.6,776.23]","false","null"
"","learner","19","220205","0.0-8.0-2.0","1528573237646","19-11","17888","","","","false","426","626","430","602","[625.16,429.45]","[414.07,762.4]","false","null"
"","learner","20","229236","0.0-8.0-3.0","1528573237646","19-11","9030","","","","false","210","392","370","616","[388.73,369.84],[387.36,618.47]","","false","null"
"","learner","21","237580","0.0-8.0-4.0","1528573237646","19-11","8342","","","","false","264","315","347","409","","[328.22,336.07],[256.23,425.61]","true","null"
"","check_point_button","22","239757","0.0-9.0","1528573237646","19-11","2174","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","245252","0.0-10.0-0.0","1528573237646","19-11","5495","","","","false","313","527","351","710","","[307.66,722.46],[535.49,337.1]","true","null"
