"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2491","0.0-0.0","1528654857873","58-11","","","","","","","","","","","","",""
"","survey-text","1","9051","0.0-1.0","1528654857873","58-11","6556","{""Q0"":""58-11""}","","","","","","","","","","",""
"","my_image_button","2","21205","0.0-2.0-0.0","1528654857873","58-11","12152","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","34403","0.0-2.0-1.0","1528654857873","58-11","13198","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","44355","0.0-2.0-2.0","1528654857873","58-11","9950","","","0","","","","","","","","",""
"","learner","5","56996","0.0-3.0-0.0","1528654857873","58-11","12635","","","","true","424","548","464","636","[543.74,466.39],[422.37,632.94]","","false","null"
"","learner","6","81318","0.0-3.0-1.0","1528654857873","58-11","24319","","","","true","644","732","542","727","[641.06,541.29]","[729.16,722.15]","false","null"
"","learner","7","97743","0.0-3.0-2.0","1528654857873","58-11","16423","","","","true","474","663","554","705","","[662.43,553.81],[470.6,700.95]","true","null"
"","learner","8","126761","0.0-3.0-3.0","1528654857873","58-11","29016","","","","true","572","687","441","671","[578.52,501.13]","[685.22,668.98]","false","null"
"","check_point_button","9","151778","0.0-4.0","1528654857873","58-11","25016","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","163763","0.0-5.0","1528654857873","58-11","11983","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","186357","0.0-6.0-0.0","1528654857873","58-11","22592","","","","false","616","805","331","750","[655.3,712.53],[668.32,360.63]","","true","null"
"","learner","12","195139","0.0-6.0-1.0","1528654857873","58-11","8781","","","","false","522","726","570","737","","[520.28,733.64],[725.33,568.21]","true","null"
"","learner","13","202925","0.0-6.0-2.0","1528654857873","58-11","7784","","","","false","560","702","232","393","[638.57,307.74]","[559.29,232.4]","true","null"
"","learner","14","209004","0.0-6.0-3.0","1528654857873","58-11","6077","","","","false","745","774","376","484","","[740.95,372.09],[774.54,483.51]","true","null"
"","learner","15","217892","0.0-6.0-4.0","1528654857873","58-11","8887","","","","false","407","562","420","573","[512.74,531.71]","[407.11,417.27]","true","null"
"","check_point_button","16","225028","0.0-7.0","1528654857873","58-11","7135","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","232732","0.0-8.0-0.0","1528654857873","58-11","7703","","","","false","235","448","381","624","[420.15,402.5]","[235.87,622.47]","false","null"
"","learner","18","239835","0.0-8.0-1.0","1528654857873","58-11","7100","","","","false","468","797","624","778","[770.76,636.88]","[466.78,775.47]","true","null"
"","learner","19","255808","0.0-8.0-2.0","1528654857873","58-11","15972","","","","false","331","804","299","462","[747.82,309.34],[379.08,431.43]","","true","null"
"","learner","20","263256","0.0-8.0-3.0","1528654857873","58-11","7446","","","","false","232","710","229","593","[673.91,484.13]","[231.56,226.41]","true","null"
"","learner","21","271984","0.0-8.0-4.0","1528654857873","58-11","8727","","","","false","543","748","541","676","[572.53,633.71],[710.43,576.52]","","true","null"
"","check_point_button","22","275369","0.0-9.0","1528654857873","58-11","3383","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","285944","0.0-10.0-0.0","1528654857873","58-11","10574","","","","false","475","660","344","550","[562.58,516.6],[564.19,391.28]","","true","null"
"","learner","24","290696","0.0-10.0-1.0","1528654857873","58-11","4750","","","","false","418","607","419","617","[460.38,583.7]","[605.52,417.96]","true","null"
"","learner","25","297081","0.0-10.0-2.0","1528654857873","58-11","6382","","","","false","422","649","465","595","","[422.42,466.54],[650.09,569.07]","false","null"
"","learner","26","301200","0.0-10.0-3.0","1528654857873","58-11","4119","","","","false","253","506","509","672","[407.36,609.5],[302.25,555.73]","","true","null"
"","learner","27","306707","0.0-10.0-4.0","1528654857873","58-11","5505","","","","false","369","688","491","624","[397.67,526.58]","[685.83,624.87]","true","null"
"","check_point_button","28","309099","0.0-11.0","1528654857873","58-11","2392","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","","",""
"","learner","29","314043","0.0-12.0-0.0","1528654857873","58-11","4941","","","","false","567","717","274","511","[648.41,486.69],[702.75,354.88]","","true","null"
"","learner","30","319875","0.0-12.0-1.0","1528654857873","58-11","5830","","","","false","479","666","278","454","[495.46,420.73],[636.32,339.72]","","true","null"
"","learner","31","325740","0.0-12.0-2.0","1528654857873","58-11","5863","","","","false","340","666","572","678","[579.03,584.64]","[339.27,677.68]","true","null"
"","learner","32","334371","0.0-12.0-3.0","1528654857873","58-11","8631","","","","false","665","751","509","596","","[659.16,508.21],[754.22,560.86]","true","null"
"","learner","33","339700","0.0-12.0-4.0","1528654857873","58-11","5327","","","","false","338","420","463","728","[352.19,623.39],[395.4,484.78]","","true","null"
"","check_point_button","34","341532","0.0-13.0","1528654857873","58-11","1831","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","","",""
"","learner","35","351100","0.0-14.0-0.0","1528654857873","58-11","9566","","","","false","516","608","441","730","[535.54,670.68]","[518.53,435.75]","true","null"
"","learner","36","359268","0.0-14.0-1.0","1528654857873","58-11","8167","","","","false","345","415","450","689","","[415.9,447.14],[343.81,690.06]","true","null"
"","learner","37","366718","0.0-14.0-2.0","1528654857873","58-11","7449","","","","false","414","483","509","773","[442.6,710.88],[472.9,587.99]","","true","null"
"","learner","38","370806","0.0-14.0-3.0","1528654857873","58-11","4087","","","","false","409","748","135","354","[447.74,224.41],[677.24,309.37]","","true","null"
"","learner","39","378207","0.0-14.0-4.0","1528654857873","58-11","7398","","","","false","370","504","497","743","","[368.58,495.11],[505.68,744.82]","true","null"
"","check_point_button","40","380487","0.0-15.0","1528654857873","58-11","2280","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","","",""
"","html-button-response","41","390742","0.0-16.0","1528654857873","58-11","10255","","<p align='center' style='font-size:25px;' > ¡ACORDATE DE QUE ALGUIEN TE DEJÓ ESTAS PISTAS PARA QUE ENCUENTRES LA CAJA! </p>","0","","","","","","","","",""
"","learner","42","398703","0.0-17.0-0.0","1528654857873","58-11","7958","","","","false","534","695","650","750","[651.33,663.58]","[533.29,749.93]","true","null"
"","learner","43","411952","0.0-17.0-1.0","1528654857873","58-11","13247","","","","false","491","659","429","592","[496.66,453.13],[563.37,560.06]","","true","null"
"","learner","44","426503","0.0-17.0-2.0","1528654857873","58-11","14551","","","","false","239","563","524","819","","[239,520.8],[245.69,763.53]","false","null"
"","learner","45","438386","0.0-17.0-3.0","1528654857873","58-11","11882","","","","false","372","598","494","634","","[602.68,511.16],[370.76,618.35]","true","null"
"","learner","46","458770","0.0-17.0-4.0","1528654857873","58-11","20383","","","","false","470","698","271","462","","[464.28,462.84],[706.64,353.33]","true","null"
"","check_point_button","47","460818","0.0-18.0","1528654857873","58-11","2046","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 6</font></p>","0","","","","","","","","",""
"","learner","48","471738","0.0-19.0-0.0","1528654857873","58-11","10919","","","","false","325","690","486","739","[331.68,634.64]","[693.81,738.84]","true","null"
"","learner","49","493012","0.0-19.0-1.0","1528654857873","58-11","21273","","","","false","515","706","587","783","[680.39,594.45],[545.13,648.23]","","true","null"
"","learner","50","504620","0.0-19.0-2.0","1528654857873","58-11","11606","","","","false","468","645","619","791","[628.86,677.43]","[466.02,613.58]","true","null"
"","learner","51","513932","0.0-19.0-3.0","1528654857873","58-11","9310","","","","false","220","480","523","764","","[212.86,521.18],[207.52,731.95]","true","null"
"","learner","52","523229","0.0-19.0-4.0","1528654857873","58-11","9294","","","","false","546","825","223","473","[616.93,403.59]","[544.75,219.44]","true","null"
"","check_point_button","53","525325","0.0-20.0","1528654857873","58-11","2095","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 7</font></p>","0","","","","","","","","",""
"","learner","54","551461","0.0-21.0-0.0","1528654857873","58-11","26134","","","","false","434","663","285","559","","[659.17,283.09],[590.91,567.17]","true","null"
"","learner","55","559256","0.0-21.0-1.0","1528654857873","58-11","7793","","","","false","90","410","295","627","[320.21,318.31]","[408.47,632.25]","true","null"
"","learner","56","571040","0.0-21.0-2.0","1528654857873","58-11","11783","","","","false","372","538","400","545","","[547.71,398.55],[535.84,553.25]","true","null"
"","learner","57","578160","0.0-21.0-3.0","1528654857873","58-11","7119","","","","false","506","693","439","617","[610.58,452.93]","[700.04,622.17]","true","null"
"","learner","58","583272","0.0-21.0-4.0","1528654857873","58-11","5111","","","","false","445","626","576","779","[594.11,738.2],[496,621.69]","","true","null"
"","check_point_button","59","584840","0.0-22.0","1528654857873","58-11","1566","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 8</font></p>","0","","","","","","","","",""
"","learner","60","608137","0.0-23.0-0.0","1528654857873","58-11","23295","","","","false","453","681","246","502","","[622.77,508],[679.63,239.61]","true","null"
"","learner","61","616067","0.0-23.0-1.0","1528654857873","58-11","7929","","","","false","268","535","446","698","[528.29,626.53]","[263.94,700.65]","true","null"
"","learner","62","622500","0.0-23.0-2.0","1528654857873","58-11","6431","","","","false","408","732","214","556","[628.19,493.45]","[401.42,214.36]","true","null"
"","learner","63","636084","0.0-23.0-3.0","1528654857873","58-11","13582","","","","false","423","773","233","581","","[412.52,233.74],[499.79,589.08]","true","null"
"","learner","64","643300","0.0-23.0-4.0","1528654857873","58-11","7215","","","","false","575","827","407","623","[676.07,486.67]","[567.22,623.38]","true","null"
"","check_point_button","65","645509","0.0-24.0","1528654857873","58-11","2207","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 9</font></p>","0","","","","","","","","",""
"","learner","66","655277","0.0-25.0-0.0","1528654857873","58-11","9767","","","","false","369","591","539","755","[539.82,705.35]","[366.2,755.96]","true","null"
