success,trial_type,trial_index,time_elapsed,internal_node_id,start_time,Id,rt,responses,stimulus,button_pressed,Prueba,X_left,X_right,Y_top,Y_bottom,Circles,Crosses,Consistency,key_press
true,fullscreen,0,2359,0.0-0.0,1528662216997,88-12,,,,,,,,,,,,,
,survey-text,1,10818,0.0-1.0,1528662216997,88-12,8455,"{""Q0"":""88-12""}",,,,,,,,,,,
,my_image_button,2,21081,0.0-2.0-0.0,1528662216997,88-12,10261,,img/caja.png,0,,,,,,,,,
,my_image_button,3,31385,0.0-2.0-1.0,1528662216997,88-12,10303,,img/caja_con_ejemplos.png,0,,,,,,,,,
,my_image_button,4,39306,0.0-2.0-2.0,1528662216997,88-12,7919,,,0,,,,,,,,,
,learner,5,72749,0.0-3.0-0.0,1528662216997,88-12,33438,,,,true,612,923,505,733,"[465.22,469],[493.04,290.75]",,false,null
,learner,6,82108,0.0-3.0-1.0,1528662216997,88-12,9358,,,,true,566,762,471,602,"[664.41,536.42]","[525.52,669.61]",true,null
,learner,7,87061,0.0-3.0-2.0,1528662216997,88-12,4950,,,,true,337,569,438,571,,"[622.27,679.58],[310.89,371.4]",true,null
,learner,8,90581,0.0-3.0-3.0,1528662216997,88-12,3519,,,,true,613,799,452,543,"[694.79,485.44]","[551.46,592.03]",true,null
,check_point_button,9,111797,0.0-4.0,1528662216997,88-12,21214,,"<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>",0,,,,,,,,,
,html-button-response,10,121749,0.0-5.0,1528662216997,88-12,9950,,<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>,0,,,,,,,,,
,learner,11,133575,0.0-6.0-0.0,1528662216997,88-12,11824,,,,false,402,684,319,445,,"[717.46,460.55],[395.84,284.21]",true,null
,learner,12,145807,0.0-6.0-1.0,1528662216997,88-12,12230,,,,false,740,951,748,899,"[683.13,643.64],[599.68,710.4]",,false,null
,learner,13,154096,0.0-6.0-2.0,1528662216997,88-12,8286,,,,false,212,554,541,761,"[503.7,550.47],[290.87,744.89]",,true,null
,learner,14,159128,0.0-6.0-3.0,1528662216997,88-12,5031,,,,false,412,591,496,631,"[560.91,517.47],[477.59,608.32]",,true,null
,learner,15,163456,0.0-6.0-4.0,1528662216997,88-12,4326,,,,false,531,734,293,502,"[683.25,454.82],[569.87,308.24]",,true,null
,check_point_button,16,167120,0.0-7.0,1528662216997,88-12,3663,,<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>,0,,,,,,,,,
,learner,17,171592,0.0-8.0-0.0,1528662216997,88-12,4471,,,,false,379,596,336,535,"[511.89,358.92],[470.29,478.78]",,true,null
,learner,18,176161,0.0-8.0-1.0,1528662216997,88-12,4566,,,,false,419,676,574,690,,"[505.5,520.95],[610.89,761.4]",true,null
,learner,19,179416,0.0-8.0-2.0,1528662216997,88-12,3252,,,,false,426,493,510,560,"[457.28,530.52]","[351.99,496.87]",true,null
,learner,20,183792,0.0-8.0-3.0,1528662216997,88-12,4374,,,,false,375,558,512,602,"[513.34,576.75],[403.72,541.22]",,true,null
,learner,21,187881,0.0-8.0-4.0,1528662216997,88-12,4087,,,,false,311,482,356,442,,"[279.5,340.47],[518.62,453.08]",true,null
,check_point_button,22,50569,0.0-9.0,1528662448649,88-12-b,5527,,<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>,0,,,,,,,,,
,learner,23,58073,0.0-10.0-0.0,1528662448649,88-12-b,7503,,,,false,594,729,248,287,,"[588.11,258.6],[492.28,200.85]",true,null
,learner,24,63908,0.0-10.0-1.0,1528662448649,88-12-b,5832,,,,false,248,631,335,519,"[556.43,386.6],[351.82,481.1]",,true,null
