"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2746","0.0-0.0","1528572990702","17-10","","","","","","","","","","","",""
"","survey-text","1","8490","0.0-1.0","1528572990702","17-10","5740","{""Q0"":""17-10""}","","","","","","","","","",""
"","my_image_button","2","15226","0.0-2.0-0.0","1528572990702","17-10","6734","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","23050","0.0-2.0-1.0","1528572990702","17-10","7824","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","28593","0.0-2.0-2.0","1528572990702","17-10","5543","","","0","","","","","","","",""
"","teacher","5","53554","0.0-3.0-0.0","1528572990702","17-10","15356","","","","true","186.3","483.29","686.02","783.22","[197,699],[476,776]","","null"
"","teacher","6","63124","0.0-3.0-1.0","1528572990702","17-10","5716","","","","true","132.92","713.71","216.05","363.55","[143,229]","[75,463]","null"
"","teacher","7","73542","0.0-3.0-2.0","1528572990702","17-10","7886","","","","true","301.27","398.47","223.1","793.81","[392,788],[308,235]","","null"
"","teacher","8","81453","0.0-3.0-3.0","1528572990702","17-10","5493","","","","true","689.22","795.51","653.63","750.83","[737,705]","[492,781]","null"
"","check_point_button","9","99844","0.0-4.0","1528572990702","17-10","18391","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","106989","0.0-5.0","1528572990702","17-10","7143","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","121575","0.0-6.0-0.0","1528572990702","17-10","12934","","","","false","280.73","708.54","259.27","791.67","[291,786],[704,269]","","null"
"","teacher","12","129583","0.0-6.0-1.0","1528572990702","17-10","6526","","","","false","712.82","810.02","348.25","743.98","[722,739]","[820,340]","null"
"","teacher","13","135607","0.0-6.0-2.0","1528572990702","17-10","4982","","","","false","717.64","814.84","316.82","653.24","[810,325],[721,648]","","null"
"","teacher","14","141207","0.0-6.0-3.0","1528572990702","17-10","4502","","","","false","482.9","811.35","156.6","253.8","[491,164],[806,245]","","null"
"","teacher","15","148319","0.0-6.0-4.0","1528572990702","17-10","5479","","","","false","701.94","818.29","557.05","783.15","[709,565]","[821,787]","null"
"","check_point_button","16","149839","0.0-7.0","1528572990702","17-10","1518","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","157239","0.0-8.0-0.0","1528572990702","17-10","6446","","","","false","421.78","625.99","571.09","820.31","[427,583],[619,816]","","null"
"","teacher","18","164263","0.0-8.0-1.0","1528572990702","17-10","5319","","","","false","683.21","790.62","122.49","618.28","[689,611],[785,319]","","null"
"","teacher","19","170031","0.0-8.0-2.0","1528572990702","17-10","4463","","","","false","749.55","846.75","642.41","739.61","[759,655]","[849,743]","null"
"","teacher","20","178671","0.0-8.0-3.0","1528572990702","17-10","6806","","","","false","303.92","406.17","504.54","675.04","[309,673]","[409,504]","null"
"","teacher","21","188282","0.0-8.0-4.0","1528572990702","17-10","8514","","","","false","299.55","573.58","775.57","872.77","","[298,774],[577,877]","null"
"","check_point_button","22","190027","0.0-9.0","1528572990702","17-10","1743","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","199043","0.0-10.0-0.0","1528572990702","17-10","7030","","","","false","672.96","770.16","447.08","544.28","","[774,446],[671,548]","null"
"","teacher","24","206483","0.0-10.0-1.0","1528572990702","17-10","5616","","","","false","506.57","707.87","499.14","705.37","","[505,498],[711,708]","null"
"","teacher","25","215419","0.0-10.0-2.0","1528572990702","17-10","7543","","","","false","413.22","861.13","470.62","862.2","[419,473],[856,859]","","null"
"","teacher","26","223003","0.0-10.0-3.0","1528572990702","17-10","6231","","","","false","654.67","861.42","485.31","582.51","[659,580],[859,492]","","null"
"","teacher","27","229832","0.0-10.0-4.0","1528572990702","17-10","4982","","","","false","599.06","696.26","199.75","761.73","","[596,198],[700,765]","null"
"","check_point_button","28","231196","0.0-11.0","1528572990702","17-10","1362","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","235980","0.0-12.0-0.0","1528572990702","17-10","3550","","","","false","443.82","851.47","429.06","558.43","","[442,558],[855,429]","null"
"","teacher","30","242068","0.0-12.0-1.0","1528572990702","17-10","4902","","","","false","742.54","839.74","761.11","858.31","[837,856]","[741,760]","null"
"","teacher","31","246997","0.0-12.0-2.0","1528572990702","17-10","3496","","","","false","476.05","699.95","452.22","640","[694,458],[481,638]","","null"
"","teacher","32","255382","0.0-12.0-3.0","1528572990702","17-10","6487","","","","false","343.12","705.71","296.26","681.32","[347,298]","[709,685]","null"
"","teacher","33","262140","0.0-12.0-4.0","1528572990702","17-10","5687","","","","false","416.62","668.15","570.92","668.12","","[415,571],[670,671]","null"
"","check_point_button","34","263366","0.0-13.0","1528572990702","17-10","1224","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","",""
"","teacher","35","270774","0.0-14.0-0.0","1528572990702","17-10","6110","","","","false","209.51","476.08","364.03","528.14","","[479,361],[208,362]","null"
"","teacher","36","276885","0.0-14.0-1.0","1528572990702","17-10","4758","","","","false","211.44","308.64","255.67","408.34","","[207,251],[311,411]","null"
"","teacher","37","283789","0.0-14.0-2.0","1528572990702","17-10","5687","","","","false","619.6","716.8","153.07","412","[714,157],[626,405]","","null"
"","teacher","38","288277","0.0-14.0-3.0","1528572990702","17-10","3535","","","","false","98.25","338.85","602.28","699.48","[338,609],[106,698]","","null"
"","teacher","39","294550","0.0-14.0-4.0","1528572990702","17-10","4855","","","","false","748.1","845.3","623.21","854.56","[752,624]","[846,855]","null"
"","check_point_button","40","296197","0.0-15.0","1528572990702","17-10","1646","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","",""
"","html-button-response","41","298437","0.0-16.0","1528572990702","17-10","2239","","<p align='center' style='font-size:25px;' > ¡ACORDATE DE QUE CON ESTAS PISTAS OTRO JUGADOR TENDRÁ QUE ADIVINAR EN DÓNDE ESTÁ LA CAJA! </p>","0","","","","","","","",""
"","teacher","42","306128","0.0-17.0-0.0","1528572990702","17-10","6152","","","","false","652.4","870.15","502.2","608.88","[866,605]","[654,502]","null"
"","teacher","43","314537","0.0-17.0-1.0","1528572990702","17-10","7064","","","","false","372.3","512.86","678.41","775.87","[511,682],[378,772]","","null"
"","teacher","44","320129","0.0-17.0-2.0","1528572990702","17-10","4580","","","","false","431.7","580.49","772.08","872.45","","[584,771],[430,876]","null"
"","teacher","45","328376","0.0-17.0-3.0","1528572990702","17-10","6926","","","","false","359.42","778.97","289.58","479.66","","[358,287],[783,484]","null"
"","teacher","46","332720","0.0-17.0-4.0","1528572990702","17-10","3422","","","","false","657.63","762.51","657.69","787.67","","[656,654],[765,790]","null"
"","check_point_button","47","334616","0.0-18.0","1528572990702","17-10","1895","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 6</font></p>","0","","","","","","","",""
"","teacher","48","344176","0.0-19.0-0.0","1528572990702","17-10","8279","","","","false","261.75","566.17","109.78","732.25","[268,114],[562,728]","","null"
"","teacher","49","352552","0.0-19.0-1.0","1528572990702","17-10","7287","","","","false","148.97","427.47","720.2","852.51","[424,725],[155,848]","","null"
"","teacher","50","358832","0.0-19.0-2.0","1528572990702","17-10","4967","","","","false","474.34","571.54","276.35","391.64","[479,279],[569,389]","","null"
"","teacher","51","364048","0.0-19.0-3.0","1528572990702","17-10","4159","","","","false","703.18","863.22","678.06","775.26","[708,684],[862,769]","","null"
"","teacher","52","369378","0.0-19.0-4.0","1528572990702","17-10","4233","","","","false","151.64","388.63","255.51","827.01","[157,263]","[391,830]","null"
"","check_point_button","53","370483","0.0-20.0","1528572990702","17-10","1103","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 7</font></p>","0","","","","","","","",""
"","teacher","54","377234","0.0-21.0-0.0","1528572990702","17-10","5167","","","","false","683.43","859.03","239","711.46","","[681,236],[863,715]","null"
"","teacher","55","383818","0.0-21.0-1.0","1528572990702","17-10","5094","","","","false","753.85","851.05","368.09","465.29","","[854,366],[755,466]","null"
"","teacher","56","390355","0.0-21.0-2.0","1528572990702","17-10","5240","","","","false","126.37","716.8","492.21","703.59","","[720,492],[125,707]","null"
"","teacher","57","397827","0.0-21.0-3.0","1528572990702","17-10","6190","","","","false","112.28","822.15","442.16","777.8","","[110,440],[823,781]","null"
