"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2733","0.0-0.0","1528654958816","55-7","","","","","","","","","","","","",""
"","survey-text","1","11493","0.0-1.0","1528654958816","55-7","8758","{""Q0"":""55-7""}","","","","","","","","","","",""
"","my_image_button","2","27878","0.0-2.0-0.0","1528654958816","55-7","16382","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","53982","0.0-2.0-1.0","1528654958816","55-7","26102","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","60504","0.0-2.0-2.0","1528654958816","55-7","6521","","","0","","","","","","","","",""
"","learner","5","101145","0.0-3.0-0.0","1528654958816","55-7","40637","","","","true","576","745","296","406","[598.31,309.06],[709.22,375.53]","","true","null"
"","learner","6","114881","0.0-3.0-1.0","1528654958816","55-7","13733","","","","true","401","452","418","504","[426.62,462.56]","[409.14,249.22]","true","null"
"","learner","7","134747","0.0-3.0-2.0","1528654958816","55-7","19865","","","","true","367","495","299","428","","[225.78,335.9],[307.2,236.5]","true","null"
"","learner","8","143147","0.0-3.0-3.0","1528654958816","55-7","8399","","","","true","368","512","183","280","[412.58,221.87]","[604.73,299.05]","true","null"
"","check_point_button","9","156467","0.0-4.0","1528654958816","55-7","13319","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","167244","0.0-5.0","1528654958816","55-7","10774","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","174708","0.0-6.0-0.0","1528654958816","55-7","7460","","","","false","354","456","214","390","","[457,533.34],[548.21,472.57]","true","null"
"","learner","12","181340","0.0-6.0-1.0","1528654958816","55-7","6630","","","","false","498","606","643","721","","[714.22,613.35],[323.01,724.01]","true","null"
"","learner","13","189894","0.0-6.0-2.0","1528654958816","55-7","8553","","","","false","372","655","524","724","[612.28,669.97],[451.87,572.15]","","true","null"
"","learner","14","201278","0.0-6.0-3.0","1528654958816","55-7","11383","","","","false","516","689","649","748","","[453.17,645.41],[477.88,759.62]","true","null"
"","learner","15","207967","0.0-6.0-4.0","1528654958816","55-7","6686","","","","false","252","529","431","541","[352.74,482.33]","[549.71,586.47]","true","null"
