"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2445","0.0-0.0","1528666816704","107-5","","","","","","","","","","","",""
"","survey-text","1","13945","0.0-1.0","1528666816704","107-5","11497","{""Q0"":""107-5""}","","","","","","","","","",""
"","my_image_button","2","32177","0.0-2.0-0.0","1528666816704","107-5","18230","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","59970","0.0-2.0-1.0","1528666816704","107-5","27792","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","68882","0.0-2.0-2.0","1528666816704","107-5","8911","","","0","","","","","","","",""
"","teacher","5","129238","0.0-3.0-0.0","1528666816704","107-5","4973","","","","true","114.48","551.39","282.14","636.3","[235,556],[312,504]","","null"
"","teacher","6","152062","0.0-3.0-1.0","1528666816704","107-5","6079","","","","true","412.09","575.25","274.88","372.08","","[631,348],[637,299]","null"
"","teacher","7","195951","0.0-3.0-2.0","1528666816704","107-5","29280","","","","true","245.06","540.99","466.99","564.19","[500,505]","[575,430]","null"
"","teacher","8","220344","0.0-3.0-3.0","1528666816704","107-5","9447","","","","true","645.49","743.08","488.86","695.51","[711,570]","[614,433]","null"
"","check_point_button","9","228024","0.0-4.0","1528666816704","107-5","7677","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","1","","","","","","","",""
"","html-button-response","10","241288","0.0-5.0","1528666816704","107-5","13264","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","261347","0.0-6.0-0.0","1528666816704","107-5","8616","","","","false","309.59","406.79","678.56","775.76","","[306,673],[288,750]","null"
"","teacher","12","311300","0.0-6.0-1.0","1528666816704","107-5","9214","","","","false","199.66","741.6","162.96","437.84","[584,278]","[420,117]","81"
