"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2652","0.0-0.0","1528668351938","110-11","","","","","","","","","","","",""
"","survey-text","1","7123","0.0-1.0","1528668351938","110-11","4468","{""Q0"":""110-11""}","","","","","","","","","",""
"","my_image_button","2","24851","0.0-2.0-0.0","1528668351938","110-11","17727","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","43139","0.0-2.0-1.0","1528668351938","110-11","18287","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","44427","0.0-2.0-2.0","1528668351938","110-11","1287","","","0","","","","","","","",""
"","teacher","5","76783","0.0-3.0-0.0","1528668351938","110-11","19129","","","","true","648.58","835.05","670.48","767.68","[689,730],[758,707]","","null"
"","teacher","6","84926","0.0-3.0-1.0","1528668351938","110-11","5374","","","","true","162.03","404.1","657.27","754.47","[213,691],[337,720]","","null"
"","teacher","7","90871","0.0-3.0-2.0","1528668351938","110-11","3566","","","","true","585.57","770.3","175.93","660.79","[633,220],[699,634]","","null"
"","teacher","8","96479","0.0-3.0-3.0","1528668351938","110-11","3447","","","","true","481.77","578.97","623.84","764.8","[513,646],[522,751]","","null"
"","check_point_button","9","120703","0.0-4.0","1528668351938","110-11","24223","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","123441","0.0-5.0","1528668351938","110-11","2736","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","135137","0.0-6.0-0.0","1528668351938","110-11","10542","","","","false","284.41","836.76","540.08","663.13","[306,570],[832,657]","","null"
"","teacher","12","139849","0.0-6.0-1.0","1528668351938","110-11","3815","","","","false","713.16","810.36","453.13","780.22","[718,458],[808,778]","","null"
"","teacher","13","144058","0.0-6.0-2.0","1528668351938","110-11","3087","","","","false","347.88","871.66","616.52","713.72","[390,655],[752,689]","","null"
"","teacher","14","146570","0.0-6.0-3.0","1528668351938","110-11","1742","","","","false","482.99","841.47","531.34","688.75","[510,559],[813,668]","","null"
"","teacher","15","148850","0.0-6.0-4.0","1528668351938","110-11","1326","","","","false","433.06","545.4","536.76","728.29","[484,579],[507,705]","","null"
