"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2150","0.0-0.0","1528574616309","26-7","","","","","","","","","","","",""
"","survey-text","1","8028","0.0-1.0","1528574616309","26-7","5875","{""Q0"":""26-7""}","","","","","","","","","",""
"","my_image_button","2","20834","0.0-2.0-0.0","1528574616309","26-7","12804","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","38059","0.0-2.0-1.0","1528574616309","26-7","17222","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","53947","0.0-2.0-2.0","1528574616309","26-7","15886","","","0","","","","","","","",""
"","teacher","5","75501","0.0-3.0-0.0","1528574616309","26-7","10055","","","","true","192.5","621.82","286.1","516.75","[285,381],[327,357]","","null"
"","teacher","6","88549","0.0-3.0-1.0","1528574616309","26-7","6694","","","","true","205.14","866.92","764.25","863.05","[225,819],[844,815]","","null"
"","teacher","7","117614","0.0-3.0-2.0","1528574616309","26-7","13998","","","","true","245.12","342.32","164.32","826.45","","[302,852],[296,139]","null"
"","teacher","8","132913","0.0-3.0-3.0","1528574616309","26-7","8953","","","","true","447.75","807.63","495.83","791.93","[465,656],[794,656]","","null"
"","check_point_button","9","155641","0.0-4.0","1528574616309","26-7","22727","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","169992","0.0-5.0","1528574616309","26-7","14350","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","187955","0.0-6.0-0.0","1528574616309","26-7","16155","","","","false","563.02","719.72","116.83","355.12","[572,347],[713,131]","","null"
"","teacher","12","195867","0.0-6.0-1.0","1528574616309","26-7","6503","","","","false","340.08","497.44","602.67","828.61","[407,820],[411,608]","","null"
"","teacher","13","203667","0.0-6.0-2.0","1528574616309","26-7","5917","","","","false","687.72","871.81","457.98","781.36","[776,774],[783,469]","","null"
"","teacher","14","213130","0.0-6.0-3.0","1528574616309","26-7","6998","","","","false","589.36","686.56","375.16","472.36","[680,420],[595,423]","","null"
"","teacher","15","220795","0.0-6.0-4.0","1528574616309","26-7","5663","","","","false","504.8","813.24","204.54","516.42","[648,508],[657,217]","","null"
"","check_point_button","16","231683","0.0-7.0","1528574616309","26-7","10887","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","246973","0.0-8.0-0.0","1528574616309","26-7","13253","","","","false","773.49","870.69","326.19","651.44","[827,338],[819,642]","","null"
"","teacher","18","253302","0.0-8.0-1.0","1528574616309","26-7","4695","","","","false","561.22","724.09","622.77","856.45","[646,634]","[629,878]","null"
"","teacher","19","263709","0.0-8.0-2.0","1528574616309","26-7","7902","","","","false","618.17","748.62","724.55","821.75","[680,807],[681,732]","","null"
"","teacher","20","273053","0.0-8.0-3.0","1528574616309","26-7","7311","","","","false","266.01","411.31","724.68","821.88","","[340,717],[338,830]","null"
"","teacher","21","288222","0.0-8.0-4.0","1528574616309","26-7","9031","","","","false","604.64","701.84","535.04","632.24","[651,630],[655,541]","","null"
"","check_point_button","22","290799","0.0-9.0","1528574616309","26-7","2575","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","299790","0.0-10.0-0.0","1528574616309","26-7","6958","","","","false","652.98","750.18","426.01","534.13","[703,529],[712,432]","","null"
"","teacher","24","310225","0.0-10.0-1.0","1528574616309","26-7","7441","","","","false","254.59","413.96","320.27","807.27","","[325,815],[343,312]","null"
"","teacher","25","320522","0.0-10.0-2.0","1528574616309","26-7","6839","","","","false","267.28","364.48","401.24","778.41","[308,774],[318,407]","","null"
"","teacher","26","328905","0.0-10.0-3.0","1528574616309","26-7","6894","","","","false","177.59","274.79","673.53","813.79","","[279,745],[173,750]","null"
"","teacher","27","340307","0.0-10.0-4.0","1528574616309","26-7","7087","","","","false","126.04","378.47","720.81","818.01","[128,774]","[380,773]","null"
"","check_point_button","28","343201","0.0-11.0","1528574616309","26-7","2893","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","354202","0.0-12.0-0.0","1528574616309","26-7","8366","","","","false","629.45","726.65","414.77","819.78","[680,816],[685,420]","","null"
"","teacher","30","364649","0.0-12.0-1.0","1528574616309","26-7","8135","","","","false","224.55","591.04","510.72","648.28","","[596,587],[218,590]","null"
"","teacher","31","370836","0.0-12.0-2.0","1528574616309","26-7","4481","","","","false","120.62","266.33","558.13","809.6","[194,568],[195,804]","","null"
