,DV,Id,Level,Trial_Number
0,430.0,100,6,0
1,312.0,100,6,1
2,907.0,100,6,2
3,429.0,100,6,3
4,340.0,100,6,4
5,342.0,100,6,5
6,176.0,100,6,6
7,780.0,100,6,7
8,785.0,100,6,8
9,171.0,100,6,9
10,889.0,100,6,10
11,227.0,100,6,11
12,490.0,100,6,12
13,333.0,100,6,13
14,651.0,100,6,14
15,866.0,101,6,0
16,1098.0,101,6,1
17,434.0,101,6,2
18,806.0,101,6,3
19,420.0,101,6,4
20,363.0,101,6,5
21,539.0,101,6,6
22,550.0,101,6,7
23,1023.0,101,6,8
24,754.0,101,6,9
25,899.0,101,6,10
26,456.0,101,6,11
27,474.0,101,6,12
28,330.0,101,6,13
29,259.0,102,6,0
30,696.0,102,6,1
31,236.0,102,6,2
32,240.0,102,6,3
33,600.0,102,6,4
34,506.0,102,6,5
35,355.0,102,6,6
36,243.0,102,6,7
37,2168.0,102,6,8
38,105.0,102,6,9
39,59.0,102,6,10
40,153.0,102,6,11
41,229.0,102,6,12
42,309.0,102,6,13
43,367.0,102,6,14
44,638.0,102,6,15
45,305.0,102,6,16
46,281.0,102,6,17
47,324.0,102,6,18
48,415.0,103,6,0
49,226.0,103,6,1
50,178.0,103,6,2
51,317.0,103,6,3
52,346.0,103,6,4
53,176.0,103,6,5
54,697.0,103,6,6
55,714.0,103,6,7
56,170.0,103,6,8
57,136.0,103,6,9
58,231.0,103,6,10
59,104.0,103,6,11
60,752.0,103,6,12
61,127.0,103,6,13
62,414.0,103,6,14
63,216.0,103,6,15
64,174.0,103,6,16
65,277.0,103,6,17
66,278.0,103,6,18
67,396.0,103,6,19
68,108.0,103,6,20
69,259.0,103,6,21
70,212.0,103,6,22
71,318.0,103,6,23
72,94.0,103,6,24
73,410.0,104,6,0
74,233.0,104,6,1
75,237.0,104,6,2
76,83.0,104,6,3
77,283.0,104,6,4
78,439.0,104,6,5
79,257.0,104,6,6
80,733.0,104,6,7
81,612.0,104,6,8
82,257.0,104,6,9
83,267.0,104,6,10
84,324.0,104,6,11
85,404.0,104,6,12
86,671.0,104,6,13
87,500.0,104,6,14
88,64.0,104,6,15
89,438.0,104,6,16
90,278.0,104,6,17
91,569.0,104,6,18
92,133.0,104,6,19
93,219.0,104,6,20
94,426.0,104,6,21
95,304.0,104,6,22
96,32.0,104,6,23
97,605.0,105,6,0
98,788.0,105,6,1
99,1100.0,105,6,2
100,1183.0,105,6,3
101,712.0,105,6,4
102,1147.0,105,6,5
103,232.0,105,6,6
104,730.0,105,6,7
105,399.0,105,6,8
106,554.0,105,6,9
107,463.0,105,6,10
108,419.0,105,6,11
109,315.0,105,6,12
110,429.0,105,6,13
111,350.0,105,6,14
112,535.0,105,6,15
113,294.0,105,6,16
114,629.0,105,6,17
115,1356.0,106,6,0
116,414.0,106,6,1
117,484.0,106,6,2
118,322.0,106,6,3
119,445.0,106,6,4
120,64.0,106,6,5
121,351.0,106,6,6
122,647.0,107,6,0
123,2313.0,107,6,1
124,483.0,107,6,2
125,1091.0,107,6,3
126,282.0,107,6,4
127,212.0,107,6,5
128,160.0,107,6,6
129,99.0,107,6,7
130,212.0,107,6,8
131,437.0,107,6,9
132,262.0,107,6,10
133,319.0,107,6,11
134,157.0,107,6,12
135,87.0,107,6,13
136,299.0,107,6,14
137,1251.0,107,6,15
138,149.0,107,6,16
139,101.0,107,6,17
140,1601.0,108,6,0
141,1600.0,108,6,1
142,1999.0,108,6,2
143,1878.0,108,6,3
144,153.0,108,6,4
145,411.0,108,6,5
146,21.0,108,6,6
147,60.0,108,6,7
148,344.0,108,6,8
149,362.0,108,6,9
150,112.0,108,6,10
151,122.0,108,6,11
152,151.0,108,6,12
153,1698.0,10,2,0
154,743.0,10,2,1
155,2612.0,10,2,2
156,1137.0,10,2,3
157,846.0,10,2,4
158,826.0,10,2,5
159,2194.0,10,2,6
160,1433.0,10,2,7
161,1093.0,114,6,0
162,666.0,114,6,1
163,356.0,114,6,2
164,220.0,114,6,3
165,736.0,114,6,4
166,578.0,114,6,5
167,470.0,114,6,6
168,1375.0,114,6,7
169,155.0,114,6,8
170,296.0,114,6,9
171,287.0,114,6,10
172,198.0,114,6,11
173,378.0,114,6,12
174,510.0,114,6,13
175,432.0,114,6,14
176,505.0,114,6,15
177,295.0,114,6,16
178,89.0,114,6,17
179,289.0,114,6,18
180,345.0,114,6,19
181,216.0,114,6,20
182,367.0,114,6,21
183,556.0,114,6,22
184,1144.0,119,6,0
185,1305.0,119,6,1
186,1548.0,119,6,2
187,334.0,119,6,3
188,1024.0,119,6,4
189,862.0,119,6,5
190,477.0,119,6,6
191,425.0,119,6,7
192,215.0,119,6,8
193,334.0,119,6,9
194,463.0,119,6,10
195,3372.0,11,2,0
196,1343.0,11,2,1
197,1130.0,11,2,2
198,1214.0,11,2,3
199,154.0,12,2,0
200,851.0,12,2,1
201,3109.0,12,2,2
202,1135.0,12,2,3
203,1214.0,14,2,0
204,405.0,14,2,1
205,445.0,14,2,2
206,1016.0,14,2,3
207,1108.0,14,2,4
208,1264.0,14,2,5
209,706.0,14,2,6
210,3586.0,16,2,0
211,850.0,16,2,1
212,1068.0,16,2,2
213,835.0,16,2,3
214,935.0,17,2,0
215,1862.0,17,2,1
216,1395.0,17,2,2
217,564.0,1,2,0
218,1507.0,1,2,1
219,335.0,1,2,2
220,373.0,1,2,3
221,829.0,1,2,4
222,494.0,1,2,5
223,949.0,1,2,6
224,1411.0,1,2,7
225,670.0,1,2,8
226,1618.0,21,2,0
227,5811.0,21,2,1
228,3588.0,21,2,2
229,3738.0,21,2,3
230,1329.0,21,2,4
231,3432.0,21,2,5
232,579.0,21,2,6
233,762.0,21,2,7
234,911.0,21,2,8
235,762.0,22,2,0
236,800.0,22,2,1
237,1006.0,22,2,2
238,373.0,22,2,3
239,702.0,22,2,4
240,996.0,22,2,5
241,939.0,22,2,6
242,272.0,22,2,7
243,1141.0,22,2,8
244,2052.0,24,2,0
245,2405.0,24,2,1
246,2169.0,24,2,2
247,2239.0,24,2,3
248,2588.0,24,2,4
249,1947.0,24,2,5
250,1792.0,24,2,6
251,927.0,24,2,7
252,1603.0,24,2,8
253,1609.0,24,2,9
254,759.0,2,2,0
255,1194.0,2,2,1
256,1475.0,2,2,2
257,2007.0,2,2,3
